qfix, qfluct,cost,p,time,colapso
0.4,0.2,5,0.63,12.5,colapso
0.4,0.2,5,0.63,191.7,no colapso
0.4,0.2,5,0.64,12.8,colapso
0.4,0.2,5,0.64,191.8,no colapso
0.4,0.2,5,0.65,12.9,colapso
0.4,0.2,5,0.65,187.6,no colapso
0.4,0.2,5,0.66,12.4,colapso
0.4,0.2,5,0.66,189.8,no colapso
0.4,0.2,5,0.67,12.8,colapso
0.4,0.2,5,0.67,413.7,no colapso
0.4,0.2,5,0.68,12.7,colapso
0.4,0.2,5,0.68,190.5,no colapso
0.4,0.2,5,0.69,12.6,colapso
0.4,0.2,5,0.69,289.6,no colapso
0.4,0.2,5,0.7,12.8,colapso
0.4,0.2,5,0.7,182.7,no colapso
0.4,0.2,5,0.71,12.6,colapso
0.4,0.2,5,0.71,370.7,no colapso
0.4,0.2,5,0.72,12.8,colapso
0.4,0.2,5,0.72,365,no colapso
0.4,0.2,5,0.73,12.7,colapso
0.4,0.2,5,0.73,185.4,no colapso
0.4,0.2,5,0.74,12.7,colapso
0.4,0.2,5,0.74,352.7,no colapso
0.4,0.2,5,0.75,12.8,colapso
0.4,0.2,5,0.75,185.9,no colapso
0.4,0.2,5,0.76,12.7,colapso
0.4,0.2,5,0.76,347.5,no colapso
0.4,0.2,5,0.77,12.7,colapso
0.4,0.2,5,0.77,185.3,no colapso
0.4,0.2,5,0.78,12.9,colapso
0.4,0.2,5,0.78,358.4,no colapso
0.4,0.2,5,0.79,12.6,colapso
0.4,0.2,5,0.79,352.4,no colapso
0.4,0.2,5,0.8,12.9,colapso
0.4,0.2,5,0.8,182.8,no colapso
0.4,0.2,5,0.81,12.7,colapso
0.4,0.2,5,0.81,191.6,no colapso
0.4,0.2,5,0.82,13,colapso
0.4,0.2,5,0.82,192.6,no colapso
0.4,0.2,5,0.83,12.7,colapso
0.4,0.2,5,0.83,189.9,no colapso
0.4,0.2,5,0.84,12.7,colapso
0.4,0.2,5,0.84,189.7,no colapso
0.4,0.2,5,0.85,12.9,colapso
0.4,0.2,5,0.85,190.3,no colapso
0.4,0.2,5,0.86,12.8,colapso
0.4,0.2,5,0.86,190.6,no colapso
0.4,0.2,5,0.87,13,colapso
0.4,0.2,5,0.87,190.7,no colapso
0.4,0.2,5,0.88,12.9,colapso
0.4,0.2,5,0.88,190.2,no colapso
0.4,0.2,5,0.89,12.3,colapso
