qfix, qfluct,cost,p,time,colapso
0.3,0.3,5,0,21,colapso
0.3,0.3,5,0,33,no colapso
0.3,0.3,5,0.01,50.3,colapso
0.3,0.3,5,0.01,84.9,no colapso
0.3,0.3,5,0.02,53,colapso
0.3,0.3,5,0.02,90.1,no colapso
0.3,0.3,5,0.03,51.3,colapso
0.3,0.3,5,0.03,92.4,no colapso
0.3,0.3,5,0.04,27,colapso
0.3,0.3,5,0.04,106.6,no colapso
0.3,0.3,5,0.05,19.1,colapso
0.3,0.3,5,0.05,75.5,no colapso
0.3,0.3,5,0.06,18,colapso
0.3,0.3,5,0.06,109.9,no colapso
0.3,0.3,5,0.07,17,colapso
0.3,0.3,5,0.07,120.7,no colapso
0.3,0.3,5,0.08,18.5,colapso
0.3,0.3,5,0.08,117.7,no colapso
0.3,0.3,5,0.09,15,colapso
0.3,0.3,5,0.09,112.1,no colapso
0.3,0.3,5,0.1,15,colapso
0.3,0.3,5,0.1,68.6,no colapso
0.3,0.3,5,0.11,16,colapso
0.3,0.3,5,0.11,116.3,no colapso
0.3,0.3,5,0.12,15.8,colapso
0.3,0.3,5,0.12,101.9,no colapso
0.3,0.3,5,0.13,16.1,colapso
0.3,0.3,5,0.13,124.2,no colapso
0.3,0.3,5,0.14,17.2,colapso
0.3,0.3,5,0.14,116.9,no colapso
0.3,0.3,5,0.15,16.2,colapso
0.3,0.3,5,0.15,88.1,no colapso
0.3,0.3,5,0.16,17.4,colapso
0.3,0.3,5,0.16,138.4,no colapso
0.3,0.3,5,0.17,17.4,colapso
0.3,0.3,5,0.17,143.1,no colapso
0.3,0.3,5,0.18,16,colapso
0.3,0.3,5,0.18,161.7,no colapso
0.3,0.3,5,0.19,16,colapso
0.3,0.3,5,0.19,153.7,no colapso
0.3,0.3,5,0.2,15,colapso
0.3,0.3,5,0.2,77.8,no colapso
0.3,0.3,5,0.21,18,colapso
0.3,0.3,5,0.21,208.4,no colapso
0.3,0.3,5,0.22,18.2,colapso
