qfix, qfluct,cost,p,time,colapso
0.4,0.2,10,0,552,colapso
0.4,0.2,10,0,51671.9,no colapso
0.4,0.2,10,0.01,763.5,colapso
0.4,0.2,10,0.01,784845,no colapso
0.4,0.2,10,0.02,796.4,colapso
0.4,0.2,10,0.02,703490,no colapso
0.4,0.2,10,0.03,738.9,colapso
0.4,0.2,10,0.03,563030,no colapso
0.4,0.2,10,0.04,907,colapso
0.4,0.2,10,0.04,697282,no colapso
0.4,0.2,10,0.05,718.3,colapso
0.4,0.2,10,0.05,73283.7,no colapso
0.4,0.2,10,0.06,810.4,colapso
0.4,0.2,10,0.06,683975,no colapso
0.4,0.2,10,0.07,718.6,colapso
0.4,0.2,10,0.07,717185,no colapso
0.4,0.2,10,0.08,746.6,colapso
0.4,0.2,10,0.08,450903,no colapso
0.4,0.2,10,0.09,716,colapso
0.4,0.2,10,0.09,559210,no colapso
0.4,0.2,10,0.1,701.1,colapso
0.4,0.2,10,0.1,62175.8,no colapso
0.4,0.2,10,0.11,761.3,colapso
0.4,0.2,10,0.11,599033,no colapso
0.4,0.2,10,0.12,756.5,colapso
0.4,0.2,10,0.12,737997,no colapso
0.4,0.2,10,0.13,737.9,colapso
0.4,0.2,10,0.13,869286,no colapso
0.4,0.2,10,0.14,1162.9,colapso
0.4,0.2,10,0.14,1.15236e+06,no colapso
0.4,0.2,10,0.15,1122.4,colapso
0.4,0.2,10,0.15,115140,no colapso
0.4,0.2,10,0.16,1095.1,colapso
0.4,0.2,10,0.16,858638,no colapso
0.4,0.2,10,0.17,1226.6,colapso
0.4,0.2,10,0.17,900892,no colapso
0.4,0.2,10,0.18,1168.2,colapso
0.4,0.2,10,0.18,1.03308e+06,no colapso
0.4,0.2,10,0.19,1129.5,colapso
0.4,0.2,10,0.19,1.28263e+06,no colapso
0.4,0.2,10,0.2,1031.6,colapso
0.4,0.2,10,0.2,84067,no colapso
0.4,0.2,10,0.21,1180.9,colapso
0.4,0.2,10,0.21,865479,no colapso
0.4,0.2,10,0.22,1149,colapso
0.4,0.2,10,0.22,1.08333e+06,no colapso
0.4,0.2,10,0.23,1261.5,colapso
0.4,0.2,10,0.23,1.0418e+06,no colapso
0.4,0.2,10,0.24,1160.7,colapso
0.4,0.2,10,0.24,1.21771e+06,no colapso
0.4,0.2,10,0.25,1133.4,colapso
0.4,0.2,10,0.25,121128,no colapso
0.4,0.2,10,0.26,1107.1,colapso
0.4,0.2,10,0.26,1.07343e+06,no colapso
0.4,0.2,10,0.27,1215.4,colapso
0.4,0.2,10,0.27,1.18044e+06,no colapso
0.4,0.2,10,0.28,1078.5,colapso
0.4,0.2,10,0.28,1.31946e+06,no colapso
0.4,0.2,10,0.29,1121.7,colapso
0.4,0.2,10,0.29,1.34071e+06,no colapso
0.4,0.2,10,0.3,1118.4,colapso
0.4,0.2,10,0.3,113489,no colapso
0.4,0.2,10,0.31,1110.2,colapso
0.4,0.2,10,0.31,1.19601e+06,no colapso
0.4,0.2,10,0.32,1076.2,colapso
0.4,0.2,10,0.32,142490,no colapso
0.4,0.2,10,0.33,1206.9,colapso
0.4,0.2,10,0.33,142844,no colapso
0.4,0.2,10,0.34,1144.9,colapso
0.4,0.2,10,0.34,1.04042e+06,no colapso
0.4,0.2,10,0.35,1093.6,colapso
0.4,0.2,10,0.35,121891,no colapso
0.4,0.2,10,0.36,1100.3,colapso
0.4,0.2,10,0.36,1.37594e+06,no colapso
0.4,0.2,10,0.37,1195.4,colapso
0.4,0.2,10,0.37,1.32337e+06,no colapso
0.4,0.2,10,0.38,1139.8,colapso
0.4,0.2,10,0.38,1.40601e+06,no colapso
0.4,0.2,10,0.39,1134.4,colapso
0.4,0.2,10,0.39,1.33677e+06,no colapso
0.4,0.2,10,0.4,843.8,colapso
0.4,0.2,10,0.4,91937.4,no colapso
0.4,0.2,10,0.41,1200.2,colapso
0.4,0.2,10,0.41,1.11981e+06,no colapso
0.4,0.2,10,0.42,1123,colapso
0.4,0.2,10,0.42,146256,no colapso
0.4,0.2,10,0.43,1117.6,colapso
0.4,0.2,10,0.43,136439,no colapso
0.4,0.2,10,0.44,1168.1,colapso
0.4,0.2,10,0.44,1.11759e+06,no colapso
0.4,0.2,10,0.45,1148.3,colapso
0.4,0.2,10,0.45,128143,no colapso
0.4,0.2,10,0.46,823.4,colapso
0.4,0.2,10,0.46,1.11775e+06,no colapso
0.4,0.2,10,0.47,1125.2,colapso
0.4,0.2,10,0.47,144275,no colapso
