qfix, qfluct,cost,p,time,colapso
0.1,0.4,5,0,1,colapso
0.1,0.4,5,0,1,no colapso
0.1,0.4,5,0.01,2,colapso
0.1,0.4,5,0.01,2,no colapso
0.1,0.4,5,0.02,2,colapso
0.1,0.4,5,0.02,2,no colapso
0.1,0.4,5,0.03,2,colapso
0.1,0.4,5,0.03,2,no colapso
0.1,0.4,5,0.04,2,colapso
0.1,0.4,5,0.04,2,no colapso
0.1,0.4,5,0.05,2,colapso
0.1,0.4,5,0.05,2,no colapso
0.1,0.4,5,0.06,1.8,colapso
0.1,0.4,5,0.06,1.9,no colapso
0.1,0.4,5,0.07,2,colapso
0.1,0.4,5,0.07,2,no colapso
0.1,0.4,5,0.08,2,colapso
0.1,0.4,5,0.08,2,no colapso
0.1,0.4,5,0.09,2,colapso
0.1,0.4,5,0.09,2,no colapso
0.1,0.4,5,0.1,2,colapso
0.1,0.4,5,0.1,2,no colapso
0.1,0.4,5,0.11,2,colapso
0.1,0.4,5,0.11,2,no colapso
0.1,0.4,5,0.12,2,colapso
0.1,0.4,5,0.12,2,no colapso
0.1,0.4,5,0.13,2,colapso
0.1,0.4,5,0.13,2,no colapso
0.1,0.4,5,0.14,2,colapso
0.1,0.4,5,0.14,2,no colapso
0.1,0.4,5,0.15,2,colapso
0.1,0.4,5,0.15,2,no colapso
0.1,0.4,5,0.16,2,colapso
0.1,0.4,5,0.16,2,no colapso
0.1,0.4,5,0.17,2,colapso
0.1,0.4,5,0.17,2,no colapso
0.1,0.4,5,0.18,2,colapso
0.1,0.4,5,0.18,2,no colapso
0.1,0.4,5,0.19,2,colapso
0.1,0.4,5,0.19,2,no colapso
0.1,0.4,5,0.2,2,colapso
0.1,0.4,5,0.2,2,no colapso
0.1,0.4,5,0.21,2,colapso
0.1,0.4,5,0.21,2,no colapso
0.1,0.4,5,0.22,2.1,colapso
0.1,0.4,5,0.22,2,no colapso
0.1,0.4,5,0.23,2.1,colapso
0.1,0.4,5,0.23,2,no colapso
0.1,0.4,5,0.24,2.1,colapso
0.1,0.4,5,0.24,2,no colapso
0.1,0.4,5,0.25,2.1,colapso
0.1,0.4,5,0.25,2,no colapso
0.1,0.4,5,0.26,2,colapso
0.1,0.4,5,0.26,2,no colapso
0.1,0.4,5,0.27,2.1,colapso
0.1,0.4,5,0.27,2,no colapso
0.1,0.4,5,0.28,2.1,colapso
0.1,0.4,5,0.28,2,no colapso
0.1,0.4,5,0.29,2.1,colapso
0.1,0.4,5,0.29,2,no colapso
0.1,0.4,5,0.3,2.1,colapso
0.1,0.4,5,0.3,2,no colapso
0.1,0.4,5,0.31,2,colapso
0.1,0.4,5,0.31,2,no colapso
0.1,0.4,5,0.32,2,colapso
0.1,0.4,5,0.32,2,no colapso
0.1,0.4,5,0.33,2.1,colapso
0.1,0.4,5,0.33,2,no colapso
0.1,0.4,5,0.34,2,colapso
0.1,0.4,5,0.34,2,no colapso
0.1,0.4,5,0.35,2.2,colapso
0.1,0.4,5,0.35,2,no colapso
0.1,0.4,5,0.36,2.2,colapso
0.1,0.4,5,0.36,2.1,no colapso
0.1,0.4,5,0.37,2,colapso
0.1,0.4,5,0.37,2,no colapso
0.1,0.4,5,0.38,2,colapso
0.1,0.4,5,0.38,2,no colapso
0.1,0.4,5,0.39,2,colapso
0.1,0.4,5,0.39,2,no colapso
0.1,0.4,5,0.4,2.1,colapso
0.1,0.4,5,0.4,2,no colapso
0.1,0.4,5,0.41,2.9,colapso
0.1,0.4,5,0.41,2.9,no colapso
0.1,0.4,5,0.42,3,colapso
0.1,0.4,5,0.42,2.7,no colapso
0.1,0.4,5,0.43,2.9,colapso
0.1,0.4,5,0.43,2.9,no colapso
0.1,0.4,5,0.44,3,colapso
0.1,0.4,5,0.44,3,no colapso
0.1,0.4,5,0.45,3,colapso
0.1,0.4,5,0.45,3,no colapso
0.1,0.4,5,0.46,3,colapso
0.1,0.4,5,0.46,3,no colapso
0.1,0.4,5,0.47,3,colapso
0.1,0.4,5,0.47,3,no colapso
0.1,0.4,5,0.48,3,colapso
0.1,0.4,5,0.48,3,no colapso
0.1,0.4,5,0.49,3,colapso
0.1,0.4,5,0.49,3,no colapso
0.1,0.4,5,0.5,3,colapso
0.1,0.4,5,0.5,3,no colapso
0.1,0.4,5,0.51,3,colapso
0.1,0.4,5,0.51,3,no colapso
0.1,0.4,5,0.52,3,colapso
0.1,0.4,5,0.52,3.3,no colapso
0.1,0.4,5,0.53,3,colapso
0.1,0.4,5,0.53,3,no colapso
0.1,0.4,5,0.54,3,colapso
0.1,0.4,5,0.54,3,no colapso
0.1,0.4,5,0.55,3,colapso
0.1,0.4,5,0.55,3,no colapso
0.1,0.4,5,0.56,3,colapso
0.1,0.4,5,0.56,3,no colapso
0.1,0.4,5,0.57,3,colapso
0.1,0.4,5,0.57,3,no colapso
0.1,0.4,5,0.58,3,colapso
0.1,0.4,5,0.58,3,no colapso
0.1,0.4,5,0.59,3,colapso
0.1,0.4,5,0.59,3,no colapso
0.1,0.4,5,0.6,3.5,colapso
0.1,0.4,5,0.6,3.4,no colapso
0.1,0.4,5,0.61,5.9,colapso
0.1,0.4,5,0.61,5.8,no colapso
0.1,0.4,5,0.62,5.8,colapso
0.1,0.4,5,0.62,5.8,no colapso
0.1,0.4,5,0.63,7,colapso
0.1,0.4,5,0.63,7,no colapso
