qfix, qfluct, l,p,dof,time,method
0.4,0.3,20,0,0.578375,1.06166e+06,pg
0.4,0.3,20,0,0.578375,47729,vpg
0.4,0.3,20,0.01,0.561908,1.06768e+06,pg
0.4,0.3,20,0.01,0.548429,70398,vpg
0.4,0.3,20,0.02,0.545254,1.06948e+06,pg
0.4,0.3,20,0.02,0.518486,70446,vpg
0.4,0.3,20,0.03,0.529004,1.03037e+06,pg
0.4,0.3,20,0.03,0.488607,61809,vpg
0.4,0.3,20,0.04,0.514121,1.01117e+06,pg
0.4,0.3,20,0.04,0.458952,65720,vpg
0.4,0.3,20,0.05,0.500358,1.02343e+06,pg
0.4,0.3,20,0.05,0.429563,63737,vpg
0.4,0.3,20,0.06,0.486587,1.0311e+06,pg
0.4,0.3,20,0.06,0.400898,66199,vpg
0.4,0.3,20,0.07,0.471608,1.04764e+06,pg
0.4,0.3,20,0.07,0.373439,69467,vpg
0.4,0.3,20,0.08,0.456158,1.05143e+06,pg
0.4,0.3,20,0.08,0.348499,68583,vpg
0.4,0.3,20,0.09,0.444771,1.05777e+06,pg
0.4,0.3,20,0.09,0.324926,68159,vpg
0.4,0.3,20,0.1,0.428858,1.08759e+06,pg
0.4,0.3,20,0.1,0.302063,67903,vpg
0.4,0.3,20,0.11,0.415438,1.09716e+06,pg
0.4,0.3,20,0.11,0.285536,71176,vpg
0.4,0.3,20,0.12,0.405054,1.10692e+06,pg
0.4,0.3,20,0.12,0.26985,72981,vpg
0.4,0.3,20,0.13,0.392942,1.13213e+06,pg
0.4,0.3,20,0.13,0.255737,70888,vpg
0.4,0.3,20,0.14,0.381217,1.14797e+06,pg
0.4,0.3,20,0.14,0.242951,74670,vpg
0.4,0.3,20,0.15,0.372721,1.14423e+06,pg
0.4,0.3,20,0.15,0.230844,70064,vpg
0.4,0.3,20,0.16,0.359125,1.1669e+06,pg
0.4,0.3,20,0.16,0.219249,69237,vpg
0.4,0.3,20,0.17,0.351263,1.17712e+06,pg
0.4,0.3,20,0.17,0.207894,73251,vpg
0.4,0.3,20,0.18,0.337017,1.18875e+06,pg
0.4,0.3,20,0.18,0.196774,72192,vpg
0.4,0.3,20,0.19,0.3295,1.19836e+06,pg
0.4,0.3,20,0.19,0.185819,72787,vpg
0.4,0.3,20,0.2,0.318412,1.20105e+06,pg
0.4,0.3,20,0.2,0.174875,69195,vpg
0.4,0.3,20,0.21,0.309913,1.24635e+06,pg
0.4,0.3,20,0.21,0.166494,71111,vpg
0.4,0.3,20,0.22,0.302267,1.25066e+06,pg
0.4,0.3,20,0.22,0.158112,77120,vpg
0.4,0.3,20,0.23,0.293592,1.26092e+06,pg
