qfix, qfluct, l,p,dof,time,method
0.3,0.3,20,0,1.53775,321251,pg
0.3,0.3,20,0,1.53775,51978,vpg
0.3,0.3,20,0.01,1.49633,432615,pg
0.3,0.3,20,0.01,1.49322,91512,vpg
0.3,0.3,20,0.02,1.45335,477801,pg
0.3,0.3,20,0.02,1.44864,93482,vpg
0.3,0.3,20,0.03,1.41338,520735,pg
0.3,0.3,20,0.03,1.40413,88911,vpg
0.3,0.3,20,0.04,1.37462,579948,pg
0.3,0.3,20,0.04,1.35965,85471,vpg
0.3,0.3,20,0.05,1.33691,667990,pg
0.3,0.3,20,0.05,1.31522,81335,vpg
0.3,0.3,20,0.06,1.29591,782940,pg
0.3,0.3,20,0.06,1.27081,90029,vpg
0.3,0.3,20,0.07,1.25671,880207,pg
0.3,0.3,20,0.07,1.22641,96384,vpg
0.3,0.3,20,0.08,1.21609,1.10091e+06,pg
0.3,0.3,20,0.08,1.18224,98735,vpg
0.3,0.3,20,0.09,1.17939,1.33267e+06,pg
0.3,0.3,20,0.09,1.13818,100550,vpg
0.3,0.3,20,0.1,1.14209,1.31121e+06,pg
0.3,0.3,20,0.1,1.09419,93443,vpg
0.3,0.3,20,0.11,1.11035,1.35385e+06,pg
0.3,0.3,20,0.11,1.05053,127804,vpg
0.3,0.3,20,0.12,1.07905,1.23463e+06,pg
0.3,0.3,20,0.12,1.00691,131446,vpg
0.3,0.3,20,0.13,1.04758,1.12502e+06,pg
0.3,0.3,20,0.13,0.963556,134582,vpg
0.3,0.3,20,0.14,1.02168,1.13212e+06,pg
0.3,0.3,20,0.14,0.920204,198161,vpg
0.3,0.3,20,0.15,0.985954,1.09894e+06,pg
0.3,0.3,20,0.15,0.877062,206280,vpg
0.3,0.3,20,0.16,0.960579,1.13391e+06,pg
0.3,0.3,20,0.16,0.834183,426689,vpg
0.3,0.3,20,0.17,0.932338,1.12602e+06,pg
0.3,0.3,20,0.17,0.791456,666843,vpg
0.3,0.3,20,0.18,0.905575,1.12608e+06,pg
0.3,0.3,20,0.18,0.750786,490346,vpg
0.3,0.3,20,0.19,0.878783,1.09933e+06,pg
0.3,0.3,20,0.19,0.711734,738727,vpg
0.3,0.3,20,0.2,0.854262,1.11372e+06,pg
0.3,0.3,20,0.2,0.67375,243763,vpg
0.3,0.3,20,0.21,0.832562,1.14406e+06,pg
0.3,0.3,20,0.21,0.640325,482132,vpg
0.3,0.3,20,0.22,0.806546,1.11628e+06,pg
0.3,0.3,20,0.22,0.608249,308680,vpg
0.3,0.3,20,0.23,0.785158,1.10286e+06,pg
0.3,0.3,20,0.23,0.577951,312874,vpg
0.3,0.3,20,0.24,0.762429,1.13129e+06,pg
0.3,0.3,20,0.24,0.5487,273250,vpg
0.3,0.3,20,0.25,0.737479,1.11849e+06,pg
0.3,0.3,20,0.25,0.520563,220149,vpg
0.3,0.3,20,0.26,0.719575,1.08248e+06,pg
0.3,0.3,20,0.26,0.493599,220535,vpg
0.3,0.3,20,0.27,0.696342,971453,pg
0.3,0.3,20,0.27,0.468312,182868,vpg
0.3,0.3,20,0.28,0.6805,1.02941e+06,pg
0.3,0.3,20,0.28,0.4448,149764,vpg
0.3,0.3,20,0.29,0.661267,1.0091e+06,pg
0.3,0.3,20,0.29,0.423257,160414,vpg
0.3,0.3,20,0.3,0.640387,1.0317e+06,pg
0.3,0.3,20,0.3,0.402875,137465,vpg
0.3,0.3,20,0.31,0.625625,1.03258e+06,pg
0.3,0.3,20,0.31,0.384518,131932,vpg
0.3,0.3,20,0.32,0.606854,1.05198e+06,pg
0.3,0.3,20,0.32,0.36635,117499,vpg
0.3,0.3,20,0.33,0.587388,1.07446e+06,pg
0.3,0.3,20,0.33,0.3492,116611,vpg
0.3,0.3,20,0.34,0.568679,1.07026e+06,pg
0.3,0.3,20,0.34,0.332751,132165,vpg
0.3,0.3,20,0.35,0.5527,1.04247e+06,pg
0.3,0.3,20,0.35,0.316687,102692,vpg
0.3,0.3,20,0.36,0.541058,1.06268e+06,pg
0.3,0.3,20,0.36,0.301724,94566,vpg
0.3,0.3,20,0.37,0.523279,1.06729e+06,pg
0.3,0.3,20,0.37,0.287319,93013,vpg
0.3,0.3,20,0.38,0.507954,1.07063e+06,pg
0.3,0.3,20,0.38,0.27325,102081,vpg
0.3,0.3,20,0.39,0.492521,1.08906e+06,pg
0.3,0.3,20,0.39,0.259675,100153,vpg
0.3,0.3,20,0.4,0.478933,1.06058e+06,pg
0.3,0.3,20,0.4,0.246375,79960,vpg
0.3,0.3,20,0.41,0.466342,1.14844e+06,pg
0.3,0.3,20,0.41,0.237619,91079,vpg
0.3,0.3,20,0.42,0.452133,1.10488e+06,pg
0.3,0.3,20,0.42,0.229088,80681,vpg
0.3,0.3,20,0.43,0.440846,1.13842e+06,pg
0.3,0.3,20,0.43,0.220743,81841,vpg
0.3,0.3,20,0.44,0.429642,1.15497e+06,pg
0.3,0.3,20,0.44,0.2127,85587,vpg
0.3,0.3,20,0.45,0.419954,1.1529e+06,pg
0.3,0.3,20,0.45,0.204906,73703,vpg
0.3,0.3,20,0.46,0.402696,1.159e+06,pg
0.3,0.3,20,0.46,0.197313,79942,vpg
0.3,0.3,20,0.47,0.390358,1.19902e+06,pg
0.3,0.3,20,0.47,0.190226,69056,vpg
0.3,0.3,20,0.48,0.380529,1.19996e+06,pg
0.3,0.3,20,0.48,0.184124,75180,vpg
0.3,0.3,20,0.49,0.3706,1.18289e+06,pg
0.3,0.3,20,0.49,0.178687,62458,vpg
0.3,0.3,20,0.5,0.360429,1.06778e+06,pg
0.3,0.3,20,0.5,0.173313,61346,vpg
0.3,0.3,20,0.51,0.348229,1.05063e+06,pg
0.3,0.3,20,0.51,0.167944,60964,vpg
0.3,0.3,20,0.52,0.335208,1.04172e+06,pg
0.3,0.3,20,0.52,0.1626,59053,vpg
0.3,0.3,20,0.53,0.328858,1.05082e+06,pg
0.3,0.3,20,0.53,0.157456,59872,vpg
0.3,0.3,20,0.54,0.317233,1.06764e+06,pg
0.3,0.3,20,0.54,0.15245,61994,vpg
0.3,0.3,20,0.55,0.310667,1.08814e+06,pg
0.3,0.3,20,0.55,0.147531,60513,vpg
0.3,0.3,20,0.56,0.29905,1.03908e+06,pg
0.3,0.3,20,0.56,0.142625,54194,vpg
0.3,0.3,20,0.57,0.291817,1.05543e+06,pg
0.3,0.3,20,0.57,0.13775,53452,vpg
0.3,0.3,20,0.58,0.281792,1.05684e+06,pg
0.3,0.3,20,0.58,0.132875,53436,vpg
0.3,0.3,20,0.59,0.274762,1.07501e+06,pg
0.3,0.3,20,0.59,0.128,52782,vpg
0.3,0.3,20,0.6,0.2657,1.07372e+06,pg
0.3,0.3,20,0.6,0.123125,51930,vpg
0.3,0.3,20,0.61,0.259304,1.0745e+06,pg
0.3,0.3,20,0.61,0.121413,53312,vpg
0.3,0.3,20,0.62,0.250617,1.08331e+06,pg
0.3,0.3,20,0.62,0.1197,52613,vpg
0.3,0.3,20,0.63,0.242512,1.0891e+06,pg
0.3,0.3,20,0.63,0.117987,52059,vpg
0.3,0.3,20,0.64,0.235067,1.09761e+06,pg
0.3,0.3,20,0.64,0.116275,50983,vpg
0.3,0.3,20,0.65,0.228067,1.08915e+06,pg
0.3,0.3,20,0.65,0.114562,51395,vpg
0.3,0.3,20,0.66,0.219963,1.10776e+06,pg
0.3,0.3,20,0.66,0.112925,53210,vpg
0.3,0.3,20,0.67,0.214513,1.11116e+06,pg
0.3,0.3,20,0.67,0.111288,49871,vpg
0.3,0.3,20,0.68,0.208196,1.10901e+06,pg
0.3,0.3,20,0.68,0.10965,49479,vpg
0.3,0.3,20,0.69,0.2025,1.11291e+06,pg
0.3,0.3,20,0.69,0.108012,49535,vpg
0.3,0.3,20,0.7,0.196812,1.12552e+06,pg
0.3,0.3,20,0.7,0.106375,49286,vpg
0.3,0.3,20,0.71,0.191196,1.1337e+06,pg
0.3,0.3,20,0.71,0.105163,48822,vpg
0.3,0.3,20,0.72,0.183087,1.15058e+06,pg
0.3,0.3,20,0.72,0.10395,48902,vpg
0.3,0.3,20,0.73,0.178979,1.1611e+06,pg
0.3,0.3,20,0.73,0.102737,48703,vpg
0.3,0.3,20,0.74,0.172133,1.15162e+06,pg
0.3,0.3,20,0.74,0.101525,48027,vpg
0.3,0.3,20,0.75,0.169092,1.14743e+06,pg
0.3,0.3,20,0.75,0.100313,47934,vpg
0.3,0.3,20,0.76,0.163758,1.15977e+06,pg
0.3,0.3,20,0.76,0.0991001,48232,vpg
0.3,0.3,20,0.77,0.157312,1.1627e+06,pg
0.3,0.3,20,0.77,0.0978876,47565,vpg
0.3,0.3,20,0.78,0.153158,1.16862e+06,pg
0.3,0.3,20,0.78,0.0966749,47911,vpg
0.3,0.3,20,0.79,0.147112,1.17685e+06,pg
0.3,0.3,20,0.79,0.0954624,47551,vpg
0.3,0.3,20,0.8,0.143442,1.18317e+06,pg
0.3,0.3,20,0.8,0.09425,46802,vpg
0.3,0.3,20,0.81,0.139321,1.19048e+06,pg
0.3,0.3,20,0.81,0.0932501,46294,vpg
0.3,0.3,20,0.82,0.135521,1.19844e+06,pg
0.3,0.3,20,0.82,0.09225,45958,vpg
0.3,0.3,20,0.83,0.129808,1.20499e+06,pg
0.3,0.3,20,0.83,0.09125,46067,vpg
0.3,0.3,20,0.84,0.125433,1.20924e+06,pg
0.3,0.3,20,0.84,0.0902499,46011,vpg
0.3,0.3,20,0.85,0.123517,1.22284e+06,pg
0.3,0.3,20,0.85,0.08925,45833,vpg
0.3,0.3,20,0.86,0.117821,1.2357e+06,pg
0.3,0.3,20,0.86,0.0882501,45818,vpg
0.3,0.3,20,0.87,0.114317,1.2347e+06,pg
0.3,0.3,20,0.87,0.0872625,45564,vpg
0.3,0.3,20,0.88,0.109837,1.24479e+06,pg
0.3,0.3,20,0.88,0.0863,45671,vpg
0.3,0.3,20,0.89,0.107679,1.25317e+06,pg
0.3,0.3,20,0.89,0.0853374,45312,vpg
0.3,0.3,20,0.9,0.103404,1.26618e+06,pg
0.3,0.3,20,0.9,0.084375,45325,vpg
0.3,0.3,20,0.91,0.101179,1.27424e+06,pg
0.3,0.3,20,0.91,0.0834376,45466,vpg
0.3,0.3,20,0.92,0.097775,1.2732e+06,pg
0.3,0.3,20,0.92,0.0825,44964,vpg
0.3,0.3,20,0.93,0.0946542,1.27995e+06,pg
0.3,0.3,20,0.93,0.0815625,44804,vpg
0.3,0.3,20,0.94,0.092025,1.2885e+06,pg
