qfix, qfluct, l,p,dof,time,method
0.1,0.4,5,0,4.48,0,pg
0.1,0.4,5,0,4.48,3,vpg
0.1,0.4,5,0.01,4.4232,0,pg
0.1,0.4,5,0.01,4.4232,2,vpg
0.1,0.4,5,0.02,4.3584,0,pg
0.1,0.4,5,0.02,4.3664,2,vpg
0.1,0.4,5,0.03,4.34907,0,pg
0.1,0.4,5,0.03,4.3096,3,vpg
0.1,0.4,5,0.04,4.2808,0,pg
0.1,0.4,5,0.04,4.2528,3,vpg
0.1,0.4,5,0.05,4.18053,0,pg
0.1,0.4,5,0.05,4.196,2,vpg
0.1,0.4,5,0.06,4.13867,0,pg
0.1,0.4,5,0.06,4.1392,2,vpg
0.1,0.4,5,0.07,4.0944,0,pg
0.1,0.4,5,0.07,4.0824,2,vpg
0.1,0.4,5,0.08,3.99067,0,pg
0.1,0.4,5,0.08,4.0256,3,vpg
0.1,0.4,5,0.09,3.98347,0,pg
0.1,0.4,5,0.09,3.9688,2,vpg
0.1,0.4,5,0.1,3.8912,1,pg
0.1,0.4,5,0.1,3.912,2,vpg
0.1,0.4,5,0.11,3.83467,0,pg
0.1,0.4,5,0.11,3.8552,2,vpg
0.1,0.4,5,0.12,3.7696,1,pg
0.1,0.4,5,0.12,3.7984,2,vpg
0.1,0.4,5,0.13,3.73707,4,pg
0.1,0.4,5,0.13,3.7416,2,vpg
0.1,0.4,5,0.14,3.67893,4,pg
0.1,0.4,5,0.14,3.6848,2,vpg
0.1,0.4,5,0.15,3.65067,11,pg
0.1,0.4,5,0.15,3.628,2,vpg
0.1,0.4,5,0.16,3.5816,9,pg
0.1,0.4,5,0.16,3.5712,3,vpg
0.1,0.4,5,0.17,3.5464,13,pg
0.1,0.4,5,0.17,3.5144,4,vpg
0.1,0.4,5,0.18,3.44107,8,pg
0.1,0.4,5,0.18,3.4576,3,vpg
0.1,0.4,5,0.19,3.44427,10,pg
0.1,0.4,5,0.19,3.4008,3,vpg
0.1,0.4,5,0.2,3.39333,19,pg
0.1,0.4,5,0.2,3.344,3,vpg
0.1,0.4,5,0.21,3.29547,23,pg
0.1,0.4,5,0.21,3.2872,3,vpg
0.1,0.4,5,0.22,3.24747,23,pg
0.1,0.4,5,0.22,3.2304,4,vpg
0.1,0.4,5,0.23,3.16987,23,pg
0.1,0.4,5,0.23,3.1736,3,vpg
0.1,0.4,5,0.24,3.17013,28,pg
0.1,0.4,5,0.24,3.1168,3,vpg
0.1,0.4,5,0.25,3.06747,31,pg
0.1,0.4,5,0.25,3.06,3,vpg
0.1,0.4,5,0.26,3.08027,26,pg
0.1,0.4,5,0.26,3.0032,5,vpg
0.1,0.4,5,0.27,2.9344,35,pg
0.1,0.4,5,0.27,2.9464,3,vpg
0.1,0.4,5,0.28,2.91173,36,pg
0.1,0.4,5,0.28,2.8896,4,vpg
0.1,0.4,5,0.29,2.7912,35,pg
0.1,0.4,5,0.29,2.8328,3,vpg
0.1,0.4,5,0.3,2.85493,35,pg
0.1,0.4,5,0.3,2.776,4,vpg
0.1,0.4,5,0.31,2.7584,37,pg
0.1,0.4,5,0.31,2.7192,5,vpg
0.1,0.4,5,0.32,2.692,37,pg
0.1,0.4,5,0.32,2.6624,4,vpg
0.1,0.4,5,0.33,2.70827,34,pg
0.1,0.4,5,0.33,2.6056,4,vpg
0.1,0.4,5,0.34,2.6064,40,pg
0.1,0.4,5,0.34,2.5488,4,vpg
0.1,0.4,5,0.35,2.5624,41,pg
0.1,0.4,5,0.35,2.492,4,vpg
0.1,0.4,5,0.36,2.46773,49,pg
0.1,0.4,5,0.36,2.4352,4,vpg
0.1,0.4,5,0.37,2.41627,53,pg
0.1,0.4,5,0.37,2.3784,4,vpg
0.1,0.4,5,0.38,2.3504,54,pg
0.1,0.4,5,0.38,2.3216,4,vpg
0.1,0.4,5,0.39,2.32453,59,pg
0.1,0.4,5,0.39,2.2648,4,vpg
0.1,0.4,5,0.4,2.26293,66,pg
0.1,0.4,5,0.4,2.208,4,vpg
0.1,0.4,5,0.41,2.1728,68,pg
0.1,0.4,5,0.41,2.1512,6,vpg
0.1,0.4,5,0.42,2.15813,68,pg
0.1,0.4,5,0.42,2.0944,5,vpg
0.1,0.4,5,0.43,2.11067,65,pg
0.1,0.4,5,0.43,2.038,5,vpg
0.1,0.4,5,0.44,2.04827,83,pg
0.1,0.4,5,0.44,1.984,5,vpg
0.1,0.4,5,0.45,1.98533,74,pg
0.1,0.4,5,0.45,1.93,5,vpg
0.1,0.4,5,0.46,2.0424,82,pg
0.1,0.4,5,0.46,1.876,5,vpg
0.1,0.4,5,0.47,1.97493,83,pg
0.1,0.4,5,0.47,1.822,5,vpg
0.1,0.4,5,0.48,1.82587,102,pg
0.1,0.4,5,0.48,1.768,6,vpg
0.1,0.4,5,0.49,1.7744,113,pg
0.1,0.4,5,0.49,1.714,6,vpg
0.1,0.4,5,0.5,1.7264,115,pg
0.1,0.4,5,0.5,1.66,6,vpg
0.1,0.4,5,0.51,1.68827,115,pg
0.1,0.4,5,0.51,1.6068,6,vpg
0.1,0.4,5,0.52,1.70133,106,pg
0.1,0.4,5,0.52,1.5536,5,vpg
0.1,0.4,5,0.53,1.5856,125,pg
0.1,0.4,5,0.53,1.5004,6,vpg
0.1,0.4,5,0.54,1.5648,131,pg
0.1,0.4,5,0.54,1.4472,6,vpg
0.1,0.4,5,0.55,1.5304,128,pg
0.1,0.4,5,0.55,1.394,6,vpg
0.1,0.4,5,0.56,1.44133,152,pg
0.1,0.4,5,0.56,1.3408,7,vpg
0.1,0.4,5,0.57,1.48107,140,pg
0.1,0.4,5,0.57,1.2876,7,vpg
0.1,0.4,5,0.58,1.37093,146,pg
0.1,0.4,5,0.58,1.2344,6,vpg
0.1,0.4,5,0.59,1.35547,159,pg
0.1,0.4,5,0.59,1.1812,6,vpg
0.1,0.4,5,0.6,1.31493,172,pg
0.1,0.4,5,0.6,1.128,7,vpg
0.1,0.4,5,0.61,1.25867,164,pg
0.1,0.4,5,0.61,1.0748,10,vpg
0.1,0.4,5,0.62,1.2056,179,pg
0.1,0.4,5,0.62,1.0216,11,vpg
0.1,0.4,5,0.63,1.17733,167,pg
0.1,0.4,5,0.63,0.9684,15,vpg
0.1,0.4,5,0.64,1.1312,192,pg
0.1,0.4,5,0.64,0.9152,12,vpg
0.1,0.4,5,0.65,1.12347,187,pg
0.1,0.4,5,0.65,0.862,15,vpg
0.1,0.4,5,0.66,1.05947,190,pg
0.1,0.4,5,0.66,0.8104,18,vpg
0.1,0.4,5,0.67,1.06933,195,pg
0.1,0.4,5,0.67,0.7588,22,vpg
0.1,0.4,5,0.68,1.07387,197,pg
0.1,0.4,5,0.68,0.7072,28,vpg
0.1,0.4,5,0.69,1.01067,193,pg
0.1,0.4,5,0.69,0.6636,40,vpg
0.1,0.4,5,0.7,0.9784,206,pg
0.1,0.4,5,0.7,0.644,26,vpg
0.1,0.4,5,0.71,0.914933,210,pg
0.1,0.4,5,0.71,0.6308,35,vpg
0.1,0.4,5,0.72,0.92,198,pg
0.1,0.4,5,0.72,0.6176,19,vpg
0.1,0.4,5,0.73,0.867733,210,pg
0.1,0.4,5,0.73,0.6084,14,vpg
0.1,0.4,5,0.74,0.877333,225,pg
0.1,0.4,5,0.74,0.5992,18,vpg
0.1,0.4,5,0.75,0.827467,223,pg
0.1,0.4,5,0.75,0.59,14,vpg
0.1,0.4,5,0.76,0.7864,213,pg
0.1,0.4,5,0.76,0.5808,15,vpg
0.1,0.4,5,0.77,0.746933,207,pg
0.1,0.4,5,0.77,0.5716,11,vpg
0.1,0.4,5,0.78,0.779733,232,pg
0.1,0.4,5,0.78,0.5624,11,vpg
0.1,0.4,5,0.79,0.746667,225,pg
0.1,0.4,5,0.79,0.5532,11,vpg
0.1,0.4,5,0.8,0.745067,236,pg
0.1,0.4,5,0.8,0.544,10,vpg
0.1,0.4,5,0.81,0.695467,226,pg
0.1,0.4,5,0.81,0.5372,11,vpg
0.1,0.4,5,0.82,0.674133,249,pg
0.1,0.4,5,0.82,0.5304,11,vpg
0.1,0.4,5,0.83,0.697067,227,pg
0.1,0.4,5,0.83,0.5236,10,vpg
0.1,0.4,5,0.84,0.624,236,pg
0.1,0.4,5,0.84,0.5168,11,vpg
0.1,0.4,5,0.85,0.646667,233,pg
0.1,0.4,5,0.85,0.51,10,vpg
0.1,0.4,5,0.86,0.630933,244,pg
0.1,0.4,5,0.86,0.5032,10,vpg
0.1,0.4,5,0.87,0.584533,256,pg
0.1,0.4,5,0.87,0.4964,10,vpg
0.1,0.4,5,0.88,0.576,244,pg
0.1,0.4,5,0.88,0.4896,12,vpg
0.1,0.4,5,0.89,0.554667,244,pg
0.1,0.4,5,0.89,0.4828,10,vpg
0.1,0.4,5,0.9,0.556533,255,pg
0.1,0.4,5,0.9,0.476,10,vpg
0.1,0.4,5,0.91,0.5224,263,pg
0.1,0.4,5,0.91,0.4708,10,vpg
0.1,0.4,5,0.92,0.512267,266,pg
0.1,0.4,5,0.92,0.4656,10,vpg
0.1,0.4,5,0.93,0.5032,273,pg
0.1,0.4,5,0.93,0.4604,10,vpg
0.1,0.4,5,0.94,0.492,280,pg
0.1,0.4,5,0.94,0.4552,11,vpg
0.1,0.4,5,0.95,0.4824,282,pg
0.1,0.4,5,0.95,0.45,9,vpg
0.1,0.4,5,0.96,0.471467,279,pg
0.1,0.4,5,0.96,0.4448,11,vpg
0.1,0.4,5,0.97,0.452533,283,pg
0.1,0.4,5,0.97,0.4396,9,vpg
0.1,0.4,5,0.98,0.452,281,pg
0.1,0.4,5,0.98,0.4344,10,vpg
0.1,0.4,5,0.99,0.436267,286,pg
0.1,0.4,5,0.99,0.4292,10,vpg
0.1,0.4,5,1,0.424,295,pg
0.1,0.4,5,1,0.424,10,vpg
