qfix, qfluct, l,p,dof,time,method
0.4,0.3,10,0,0.518,20281,pg
0.4,0.3,10,0,0.518,897,vpg
0.4,0.3,10,0.01,0.5051,20107,pg
0.4,0.3,10,0.01,0.49165,1190,vpg
0.4,0.3,10,0.02,0.4895,20299,pg
0.4,0.3,10,0.02,0.465299,1185,vpg
0.4,0.3,10,0.03,0.474733,20184,pg
0.4,0.3,10,0.03,0.43895,1200,vpg
0.4,0.3,10,0.04,0.4655,21221,pg
0.4,0.3,10,0.04,0.4126,1209,vpg
0.4,0.3,10,0.05,0.450733,20983,pg
0.4,0.3,10,0.05,0.38625,1092,vpg
0.4,0.3,10,0.06,0.440867,20470,pg
0.4,0.3,10,0.06,0.3611,1033,vpg
0.4,0.3,10,0.07,0.424233,20366,pg
0.4,0.3,10,0.07,0.33635,1043,vpg
0.4,0.3,10,0.08,0.413867,21370,pg
0.4,0.3,10,0.08,0.3126,1170,vpg
0.4,0.3,10,0.09,0.398733,21748,pg
0.4,0.3,10,0.09,0.2907,1066,vpg
0.4,0.3,10,0.1,0.388967,20432,pg
0.4,0.3,10,0.1,0.2695,1222,vpg
0.4,0.3,10,0.11,0.381667,21588,pg
0.4,0.3,10,0.11,0.25395,1280,vpg
0.4,0.3,10,0.12,0.362367,21684,pg
0.4,0.3,10,0.12,0.2392,1202,vpg
0.4,0.3,10,0.13,0.3596,22617,pg
0.4,0.3,10,0.13,0.22555,1244,vpg
0.4,0.3,10,0.14,0.355733,22769,pg
0.4,0.3,10,0.14,0.2138,1355,vpg
0.4,0.3,10,0.15,0.3368,22687,pg
0.4,0.3,10,0.15,0.203,1269,vpg
0.4,0.3,10,0.16,0.325667,22608,pg
0.4,0.3,10,0.16,0.1928,1238,vpg
0.4,0.3,10,0.17,0.321433,22513,pg
0.4,0.3,10,0.17,0.18285,1265,vpg
0.4,0.3,10,0.18,0.3167,23920,pg
0.4,0.3,10,0.18,0.1729,1188,vpg
0.4,0.3,10,0.19,0.301333,23452,pg
0.4,0.3,10,0.19,0.16335,1296,vpg
0.4,0.3,10,0.2,0.293867,23300,pg
0.4,0.3,10,0.2,0.154,1284,vpg
0.4,0.3,10,0.21,0.283867,23953,pg
0.4,0.3,10,0.21,0.14695,1298,vpg
0.4,0.3,10,0.22,0.275667,23452,pg
0.4,0.3,10,0.22,0.1399,1235,vpg
0.4,0.3,10,0.23,0.270067,23253,pg
0.4,0.3,10,0.23,0.13305,1343,vpg
0.4,0.3,10,0.24,0.2618,24110,pg
0.4,0.3,10,0.24,0.1266,1277,vpg
0.4,0.3,10,0.25,0.2532,24350,pg
0.4,0.3,10,0.25,0.121,1205,vpg
0.4,0.3,10,0.26,0.243433,23844,pg
0.4,0.3,10,0.26,0.1154,1254,vpg
0.4,0.3,10,0.27,0.234267,24442,pg
0.4,0.3,10,0.27,0.1098,1296,vpg
0.4,0.3,10,0.28,0.2337,24796,pg
0.4,0.3,10,0.28,0.1042,1285,vpg
0.4,0.3,10,0.29,0.219633,24822,pg
0.4,0.3,10,0.29,0.0991,1318,vpg
0.4,0.3,10,0.3,0.219933,25320,pg
0.4,0.3,10,0.3,0.094,1282,vpg
0.4,0.3,10,0.31,0.215167,24760,pg
0.4,0.3,10,0.31,0.0895,1256,vpg
0.4,0.3,10,0.32,0.2015,25568,pg
0.4,0.3,10,0.32,0.085,1408,vpg
0.4,0.3,10,0.33,0.1897,25550,pg
0.4,0.3,10,0.33,0.0805,1226,vpg
0.4,0.3,10,0.34,0.190933,25910,pg
0.4,0.3,10,0.34,0.076,1371,vpg
0.4,0.3,10,0.35,0.188367,26104,pg
0.4,0.3,10,0.35,0.07175,1117,vpg
0.4,0.3,10,0.36,0.1769,27770,pg
0.4,0.3,10,0.36,0.0682,1291,vpg
0.4,0.3,10,0.37,0.178467,26078,pg
