qfix, qfluct,cost,p,time,colapso
0.2,0.3,5,0.64,171.6,no colapso
0.2,0.3,5,0.65,12,colapso
0.2,0.3,5,0.65,154.7,no colapso
0.2,0.3,5,0.66,11,colapso
0.2,0.3,5,0.66,173.7,no colapso
0.2,0.3,5,0.67,11,colapso
0.2,0.3,5,0.67,262.7,no colapso
0.2,0.3,5,0.68,10.4,colapso
0.2,0.3,5,0.68,180.1,no colapso
0.2,0.3,5,0.69,10,colapso
0.2,0.3,5,0.69,260.3,no colapso
0.2,0.3,5,0.7,10.6,colapso
0.2,0.3,5,0.7,139.7,no colapso
0.2,0.3,5,0.71,10.6,colapso
0.2,0.3,5,0.71,288.6,no colapso
0.2,0.3,5,0.72,10.3,colapso
0.2,0.3,5,0.72,313.9,no colapso
0.2,0.3,5,0.73,10.3,colapso
0.2,0.3,5,0.73,175.4,no colapso
0.2,0.3,5,0.74,10.1,colapso
0.2,0.3,5,0.74,271,no colapso
0.2,0.3,5,0.75,10.1,colapso
0.2,0.3,5,0.75,177,no colapso
0.2,0.3,5,0.76,10.1,colapso
0.2,0.3,5,0.76,290.6,no colapso
0.2,0.3,5,0.77,10.5,colapso
0.2,0.3,5,0.77,207.6,no colapso
0.2,0.3,5,0.78,10,colapso
0.2,0.3,5,0.78,289.1,no colapso
0.2,0.3,5,0.79,10.2,colapso
0.2,0.3,5,0.79,314.5,no colapso
0.2,0.3,5,0.8,9.7,colapso
0.2,0.3,5,0.8,119.4,no colapso
0.2,0.3,5,0.81,10.1,colapso
0.2,0.3,5,0.81,181.3,no colapso
0.2,0.3,5,0.82,10.4,colapso
0.2,0.3,5,0.82,188.8,no colapso
0.2,0.3,5,0.83,10,colapso
0.2,0.3,5,0.83,184.1,no colapso
0.2,0.3,5,0.84,9.2,colapso
0.2,0.3,5,0.84,182.6,no colapso
0.2,0.3,5,0.85,9,colapso
0.2,0.3,5,0.85,163.6,no colapso
0.2,0.3,5,0.86,9.1,colapso
0.2,0.3,5,0.86,166.3,no colapso
0.2,0.3,5,0.87,9.1,colapso
0.2,0.3,5,0.87,170.6,no colapso
0.2,0.3,5,0.88,9,colapso
0.2,0.3,5,0.88,177.5,no colapso
0.2,0.3,5,0.89,9.1,colapso
0.2,0.3,5,0.89,175.6,no colapso
0.2,0.3,5,0.9,9,colapso
0.2,0.3,5,0.9,146.9,no colapso
0.2,0.3,5,0.91,9,colapso
0.2,0.3,5,0.91,172.9,no colapso
0.2,0.3,5,0.92,9,colapso
0.2,0.3,5,0.92,171.8,no colapso
0.2,0.3,5,0.93,9,colapso
0.2,0.3,5,0.93,167.2,no colapso
0.2,0.3,5,0.94,9,colapso
0.2,0.3,5,0.94,171,no colapso
0.2,0.3,5,0.95,9,colapso
0.2,0.3,5,0.95,159.8,no colapso
0.2,0.3,5,0.96,9,colapso
0.2,0.3,5,0.96,167.5,no colapso
0.2,0.3,5,0.97,9,colapso
0.2,0.3,5,0.97,170.6,no colapso
0.2,0.3,5,0.98,9,colapso
0.2,0.3,5,0.98,173.9,no colapso
0.2,0.3,5,0.99,9,colapso
0.2,0.3,5,0.99,170.3,no colapso
0.2,0.3,5,1,9,colapso
0.2,0.3,5,1,125.4,no colapso
