qfix, qfluct,cost,p,time,colapso
0,0.4,5,0,1.3,colapso
0,0.4,5,0,1,no colapso
0,0.4,5,0.01,1,colapso
0,0.4,5,0.01,1,no colapso
0,0.4,5,0.02,1,colapso
0,0.4,5,0.02,1,no colapso
0,0.4,5,0.03,1,colapso
0,0.4,5,0.03,1,no colapso
0,0.4,5,0.04,1,colapso
0,0.4,5,0.04,1,no colapso
0,0.4,5,0.05,1,colapso
0,0.4,5,0.05,1,no colapso
0,0.4,5,0.06,1,colapso
0,0.4,5,0.06,1,no colapso
0,0.4,5,0.07,1,colapso
0,0.4,5,0.07,1,no colapso
0,0.4,5,0.08,1,colapso
0,0.4,5,0.08,1,no colapso
0,0.4,5,0.09,1,colapso
0,0.4,5,0.09,1,no colapso
0,0.4,5,0.1,1,colapso
0,0.4,5,0.1,1,no colapso
0,0.4,5,0.11,1,colapso
0,0.4,5,0.11,1,no colapso
0,0.4,5,0.12,1,colapso
0,0.4,5,0.12,1,no colapso
0,0.4,5,0.13,1,colapso
0,0.4,5,0.13,1,no colapso
0,0.4,5,0.14,1,colapso
0,0.4,5,0.14,1,no colapso
0,0.4,5,0.15,1,colapso
0,0.4,5,0.15,1,no colapso
0,0.4,5,0.16,1.1,colapso
0,0.4,5,0.16,1,no colapso
0,0.4,5,0.17,1,colapso
0,0.4,5,0.17,1,no colapso
0,0.4,5,0.18,1,colapso
0,0.4,5,0.18,1,no colapso
0,0.4,5,0.19,1,colapso
0,0.4,5,0.19,1,no colapso
0,0.4,5,0.2,1,colapso
0,0.4,5,0.2,1,no colapso
0,0.4,5,0.21,1,colapso
0,0.4,5,0.21,1,no colapso
0,0.4,5,0.22,1,colapso
0,0.4,5,0.22,1,no colapso
0,0.4,5,0.23,1,colapso
0,0.4,5,0.23,1,no colapso
0,0.4,5,0.24,1,colapso
0,0.4,5,0.24,1,no colapso
0,0.4,5,0.25,1,colapso
0,0.4,5,0.25,1,no colapso
0,0.4,5,0.26,1,colapso
0,0.4,5,0.26,1,no colapso
0,0.4,5,0.27,1,colapso
0,0.4,5,0.27,1,no colapso
0,0.4,5,0.28,1,colapso
0,0.4,5,0.28,1,no colapso
0,0.4,5,0.29,1,colapso
0,0.4,5,0.29,1,no colapso
0,0.4,5,0.3,1,colapso
0,0.4,5,0.3,1,no colapso
