qfix, qfluct,cost,p,time,colapso
0.3,0.3,10,0,1848.9,colapso
0.3,0.3,10,0,3894.4,no colapso
0.3,0.3,10,0.01,5525.9,colapso
0.3,0.3,10,0.01,12515,no colapso
0.3,0.3,10,0.02,4980.4,colapso
0.3,0.3,10,0.02,14098.2,no colapso
0.3,0.3,10,0.03,6173.7,colapso
0.3,0.3,10,0.03,15755.9,no colapso
0.3,0.3,10,0.04,6320.2,colapso
0.3,0.3,10,0.04,14917,no colapso
0.3,0.3,10,0.05,4829.8,colapso
0.3,0.3,10,0.05,11553.1,no colapso
0.3,0.3,10,0.06,6478.3,colapso
0.3,0.3,10,0.06,20295.8,no colapso
0.3,0.3,10,0.07,7451.1,colapso
0.3,0.3,10,0.07,23091.3,no colapso
0.3,0.3,10,0.08,8340.1,colapso
0.3,0.3,10,0.08,23513.4,no colapso
0.3,0.3,10,0.09,9973.1,colapso
0.3,0.3,10,0.09,30912.4,no colapso
0.3,0.3,10,0.1,4364.8,colapso
0.3,0.3,10,0.1,18581.2,no colapso
0.3,0.3,10,0.11,5265.9,colapso
0.3,0.3,10,0.11,55842.2,no colapso
0.3,0.3,10,0.12,5022,colapso
0.3,0.3,10,0.12,61307.2,no colapso
0.3,0.3,10,0.13,4162.1,colapso
0.3,0.3,10,0.13,58608.4,no colapso
0.3,0.3,10,0.14,4508.2,colapso
0.3,0.3,10,0.14,69745,no colapso
0.3,0.3,10,0.15,4389.4,colapso
0.3,0.3,10,0.15,40987.4,no colapso
0.3,0.3,10,0.16,4391.4,colapso
0.3,0.3,10,0.16,72820.7,no colapso
0.3,0.3,10,0.17,3761.2,colapso
0.3,0.3,10,0.17,80939.9,no colapso
0.3,0.3,10,0.18,2964,colapso
0.3,0.3,10,0.18,88381.7,no colapso
0.3,0.3,10,0.19,3109.3,colapso
0.3,0.3,10,0.19,96249.5,no colapso
0.3,0.3,10,0.2,2261.1,colapso
0.3,0.3,10,0.2,23209.7,no colapso
0.3,0.3,10,0.21,4304.5,colapso
0.3,0.3,10,0.21,143493,no colapso
0.3,0.3,10,0.22,4307.9,colapso
0.3,0.3,10,0.22,144422,no colapso
0.3,0.3,10,0.23,3725.7,colapso
0.3,0.3,10,0.23,144867,no colapso
0.3,0.3,10,0.24,3342.5,colapso
0.3,0.3,10,0.24,156964,no colapso
0.3,0.3,10,0.25,3029.8,colapso
0.3,0.3,10,0.25,62488,no colapso
0.3,0.3,10,0.26,2826.4,colapso
0.3,0.3,10,0.26,173958,no colapso
0.3,0.3,10,0.27,2671.5,colapso
0.3,0.3,10,0.27,185273,no colapso
0.3,0.3,10,0.28,3389.6,colapso
0.3,0.3,10,0.28,211290,no colapso
0.3,0.3,10,0.29,3281.5,colapso
0.3,0.3,10,0.29,210771,no colapso
0.3,0.3,10,0.3,2005.1,colapso
0.3,0.3,10,0.3,66786.3,no colapso
0.3,0.3,10,0.31,2762.3,colapso
0.3,0.3,10,0.31,288251,no colapso
0.3,0.3,10,0.32,1827.6,colapso
0.3,0.3,10,0.32,120111,no colapso
0.3,0.3,10,0.33,1854.4,colapso
0.3,0.3,10,0.33,110644,no colapso
0.3,0.3,10,0.34,1696,colapso
0.3,0.3,10,0.34,314315,no colapso
0.3,0.3,10,0.35,1637.6,colapso
0.3,0.3,10,0.35,84746.3,no colapso
0.3,0.3,10,0.36,1901.6,colapso
0.3,0.3,10,0.36,370655,no colapso
0.3,0.3,10,0.37,2024.8,colapso
0.3,0.3,10,0.37,371855,no colapso
0.3,0.3,10,0.38,1969.8,colapso
0.3,0.3,10,0.38,340407,no colapso
0.3,0.3,10,0.39,1533.3,colapso
0.3,0.3,10,0.39,317561,no colapso
0.3,0.3,10,0.4,1230.3,colapso
0.3,0.3,10,0.4,48217.2,no colapso
0.3,0.3,10,0.41,1602.6,colapso
0.3,0.3,10,0.41,378604,no colapso
0.3,0.3,10,0.42,1400,colapso
0.3,0.3,10,0.42,141808,no colapso
0.3,0.3,10,0.43,1422.6,colapso
0.3,0.3,10,0.43,146377,no colapso
0.3,0.3,10,0.44,1664.2,colapso
0.3,0.3,10,0.44,443037,no colapso
0.3,0.3,10,0.45,1507,colapso
0.3,0.3,10,0.45,113694,no colapso
0.3,0.3,10,0.46,1444.8,colapso
0.3,0.3,10,0.46,428514,no colapso
0.3,0.3,10,0.47,1398.6,colapso
0.3,0.3,10,0.47,158736,no colapso
0.3,0.3,10,0.48,1481,colapso
0.3,0.3,10,0.48,786964,no colapso
0.3,0.3,10,0.49,2590.8,colapso
0.3,0.3,10,0.49,860443,no colapso
0.3,0.3,10,0.5,2000.3,colapso
0.3,0.3,10,0.5,142134,no colapso
0.3,0.3,10,0.51,2336.8,colapso
0.3,0.3,10,0.51,822861,no colapso
0.3,0.3,10,0.52,1988.8,colapso
0.3,0.3,10,0.52,263353,no colapso
0.3,0.3,10,0.53,2280.9,colapso
0.3,0.3,10,0.53,929685,no colapso
0.3,0.3,10,0.54,2177.6,colapso
0.3,0.3,10,0.54,903512,no colapso
0.3,0.3,10,0.55,2303.2,colapso
0.3,0.3,10,0.55,191585,no colapso
0.3,0.3,10,0.56,2290,colapso
0.3,0.3,10,0.56,832664,no colapso
0.3,0.3,10,0.57,2003.8,colapso
0.3,0.3,10,0.57,266063,no colapso
0.3,0.3,10,0.58,2074.6,colapso
0.3,0.3,10,0.58,999691,no colapso
0.3,0.3,10,0.59,1965.8,colapso
0.3,0.3,10,0.59,268161,no colapso
0.3,0.3,10,0.6,1847.3,colapso
