qfix, qfluct,cost,p,time,colapso
0.4,0.3,5,0,9.9,colapso
0.4,0.3,5,0,133.5,no colapso
0.4,0.3,5,0.01,14,colapso
0.4,0.3,5,0.01,327.7,no colapso
0.4,0.3,5,0.02,14,colapso
0.4,0.3,5,0.02,378.4,no colapso
0.4,0.3,5,0.03,14,colapso
0.4,0.3,5,0.03,379.5,no colapso
0.4,0.3,5,0.04,14.7,colapso
0.4,0.3,5,0.04,377.8,no colapso
0.4,0.3,5,0.05,14,colapso
0.4,0.3,5,0.05,180,no colapso
0.4,0.3,5,0.06,14.2,colapso
0.4,0.3,5,0.06,337.4,no colapso
0.4,0.3,5,0.07,15,colapso
0.4,0.3,5,0.07,348.4,no colapso
0.4,0.3,5,0.08,15.2,colapso
0.4,0.3,5,0.08,415.2,no colapso
0.4,0.3,5,0.09,16,colapso
0.4,0.3,5,0.09,362.9,no colapso
0.4,0.3,5,0.1,15.1,colapso
0.4,0.3,5,0.1,185.7,no colapso
0.4,0.3,5,0.11,16.1,colapso
0.4,0.3,5,0.11,458,no colapso
0.4,0.3,5,0.12,16,colapso
0.4,0.3,5,0.12,463.3,no colapso
0.4,0.3,5,0.13,15.1,colapso
0.4,0.3,5,0.13,442.4,no colapso
0.4,0.3,5,0.14,16,colapso
0.4,0.3,5,0.14,555.4,no colapso
0.4,0.3,5,0.15,15.3,colapso
0.4,0.3,5,0.15,216.3,no colapso
0.4,0.3,5,0.16,15.6,colapso
0.4,0.3,5,0.16,426.2,no colapso
0.4,0.3,5,0.17,16,colapso
0.4,0.3,5,0.17,532.9,no colapso
0.4,0.3,5,0.18,15.7,colapso
0.4,0.3,5,0.18,526,no colapso
0.4,0.3,5,0.19,16,colapso
0.4,0.3,5,0.19,516.4,no colapso
0.4,0.3,5,0.2,15,colapso
0.4,0.3,5,0.2,191.3,no colapso
0.4,0.3,5,0.21,16,colapso
0.4,0.3,5,0.21,569.5,no colapso
0.4,0.3,5,0.22,16,colapso
0.4,0.3,5,0.22,581.3,no colapso
0.4,0.3,5,0.23,16,colapso
0.4,0.3,5,0.23,573.3,no colapso
0.4,0.3,5,0.24,16.4,colapso
0.4,0.3,5,0.24,550.2,no colapso
0.4,0.3,5,0.25,16,colapso
0.4,0.3,5,0.25,263.8,no colapso
0.4,0.3,5,0.26,16,colapso
0.4,0.3,5,0.26,631.6,no colapso
0.4,0.3,5,0.27,16.3,colapso
0.4,0.3,5,0.27,743.6,no colapso
0.4,0.3,5,0.28,16,colapso
0.4,0.3,5,0.28,720.9,no colapso
0.4,0.3,5,0.29,16,colapso
0.4,0.3,5,0.29,623.8,no colapso
0.4,0.3,5,0.3,15.5,colapso
0.4,0.3,5,0.3,245.1,no colapso
0.4,0.3,5,0.31,15.8,colapso
0.4,0.3,5,0.31,529.3,no colapso
0.4,0.3,5,0.32,15.7,colapso
0.4,0.3,5,0.32,255,no colapso
0.4,0.3,5,0.33,15.9,colapso
0.4,0.3,5,0.33,262,no colapso
0.4,0.3,5,0.34,16,colapso
0.4,0.3,5,0.34,512.1,no colapso
0.4,0.3,5,0.35,15.5,colapso
0.4,0.3,5,0.35,265.3,no colapso
0.4,0.3,5,0.36,15,colapso
0.4,0.3,5,0.36,853.1,no colapso
0.4,0.3,5,0.37,15.8,colapso
0.4,0.3,5,0.37,715.2,no colapso
0.4,0.3,5,0.38,15.3,colapso
0.4,0.3,5,0.38,640.1,no colapso
0.4,0.3,5,0.39,16,colapso
0.4,0.3,5,0.39,651.8,no colapso
0.4,0.3,5,0.4,15.2,colapso
0.4,0.3,5,0.4,235.2,no colapso
0.4,0.3,5,0.41,15.7,colapso
0.4,0.3,5,0.41,598.3,no colapso
0.4,0.3,5,0.42,15.6,colapso
0.4,0.3,5,0.42,272.3,no colapso
0.4,0.3,5,0.43,15.8,colapso
0.4,0.3,5,0.43,273.9,no colapso
0.4,0.3,5,0.44,15.8,colapso
0.4,0.3,5,0.44,769,no colapso
0.4,0.3,5,0.45,15.8,colapso
0.4,0.3,5,0.45,261.3,no colapso
0.4,0.3,5,0.46,15.4,colapso
0.4,0.3,5,0.46,611.5,no colapso
0.4,0.3,5,0.47,15.3,colapso
0.4,0.3,5,0.47,265.8,no colapso
0.4,0.3,5,0.48,15.3,colapso
0.4,0.3,5,0.48,665.6,no colapso
0.4,0.3,5,0.49,15.1,colapso
0.4,0.3,5,0.49,683.6,no colapso
0.4,0.3,5,0.5,15.4,colapso
0.4,0.3,5,0.5,261.9,no colapso
0.4,0.3,5,0.51,15.5,colapso
0.4,0.3,5,0.51,715.9,no colapso
0.4,0.3,5,0.52,15.2,colapso
0.4,0.3,5,0.52,265.9,no colapso
0.4,0.3,5,0.53,15.4,colapso
0.4,0.3,5,0.53,726.7,no colapso
0.4,0.3,5,0.54,15.3,colapso
0.4,0.3,5,0.54,666.1,no colapso
0.4,0.3,5,0.55,15.3,colapso
0.4,0.3,5,0.55,274,no colapso
0.4,0.3,5,0.56,15,colapso
0.4,0.3,5,0.56,629,no colapso
0.4,0.3,5,0.57,15.1,colapso
0.4,0.3,5,0.57,282.1,no colapso
0.4,0.3,5,0.58,15,colapso
0.4,0.3,5,0.58,792.9,no colapso
0.4,0.3,5,0.59,15.2,colapso
0.4,0.3,5,0.59,283.6,no colapso
0.4,0.3,5,0.6,15.2,colapso
0.4,0.3,5,0.6,242,no colapso
0.4,0.3,5,0.61,15,colapso
0.4,0.3,5,0.61,255.7,no colapso
0.4,0.3,5,0.62,15,colapso
0.4,0.3,5,0.62,255.7,no colapso
0.4,0.3,5,0.63,15,colapso
0.4,0.3,5,0.63,256.1,no colapso
0.4,0.3,5,0.64,15.3,colapso
0.4,0.3,5,0.64,256.8,no colapso
0.4,0.3,5,0.65,15.1,colapso
0.4,0.3,5,0.65,255.6,no colapso
0.4,0.3,5,0.66,15.1,colapso
