qfix, qfluct,cost,p,time,colapso
0.2,0.3,10,0,145.6,colapso
0.2,0.3,10,0,157,no colapso
0.2,0.3,10,0.01,176.4,colapso
0.2,0.3,10,0.01,183.7,no colapso
0.2,0.3,10,0.02,171.9,colapso
0.2,0.3,10,0.02,181.5,no colapso
0.2,0.3,10,0.03,174.3,colapso
0.2,0.3,10,0.03,185.8,no colapso
0.2,0.3,10,0.04,175.2,colapso
0.2,0.3,10,0.04,184.9,no colapso
0.2,0.3,10,0.05,173.3,colapso
0.2,0.3,10,0.05,181.2,no colapso
0.2,0.3,10,0.06,174.7,colapso
0.2,0.3,10,0.06,184.4,no colapso
0.2,0.3,10,0.07,175.7,colapso
0.2,0.3,10,0.07,184.9,no colapso
0.2,0.3,10,0.08,179.6,colapso
0.2,0.3,10,0.08,187.6,no colapso
0.2,0.3,10,0.09,178,colapso
0.2,0.3,10,0.09,188.6,no colapso
0.2,0.3,10,0.1,176.7,colapso
0.2,0.3,10,0.1,185.1,no colapso
0.2,0.3,10,0.11,197.7,colapso
0.2,0.3,10,0.11,211.7,no colapso
0.2,0.3,10,0.12,194.5,colapso
0.2,0.3,10,0.12,204.2,no colapso
0.2,0.3,10,0.13,193.5,colapso
0.2,0.3,10,0.13,207.9,no colapso
0.2,0.3,10,0.14,201.7,colapso
0.2,0.3,10,0.14,214.6,no colapso
0.2,0.3,10,0.15,192.4,colapso
0.2,0.3,10,0.15,200.2,no colapso
0.2,0.3,10,0.16,198.7,colapso
0.2,0.3,10,0.16,210.8,no colapso
0.2,0.3,10,0.17,196.5,colapso
0.2,0.3,10,0.17,208.1,no colapso
0.2,0.3,10,0.18,202.1,colapso
0.2,0.3,10,0.18,213.9,no colapso
0.2,0.3,10,0.19,214.4,colapso
0.2,0.3,10,0.19,234.3,no colapso
0.2,0.3,10,0.2,203.7,colapso
0.2,0.3,10,0.2,216.5,no colapso
0.2,0.3,10,0.21,268.2,colapso
0.2,0.3,10,0.21,301.9,no colapso
0.2,0.3,10,0.22,262.7,colapso
0.2,0.3,10,0.22,296.1,no colapso
0.2,0.3,10,0.23,259.6,colapso
0.2,0.3,10,0.23,298.8,no colapso
0.2,0.3,10,0.24,265.9,colapso
0.2,0.3,10,0.24,310,no colapso
0.2,0.3,10,0.25,277.3,colapso
0.2,0.3,10,0.25,304.9,no colapso
0.2,0.3,10,0.26,283.7,colapso
0.2,0.3,10,0.26,326.4,no colapso
0.2,0.3,10,0.27,337.9,colapso
0.2,0.3,10,0.27,451.4,no colapso
0.2,0.3,10,0.28,337.7,colapso
0.2,0.3,10,0.28,362,no colapso
0.2,0.3,10,0.29,332,colapso
0.2,0.3,10,0.29,412.9,no colapso
0.2,0.3,10,0.3,306.4,colapso
0.2,0.3,10,0.3,466.2,no colapso
0.2,0.3,10,0.31,345.7,colapso
0.2,0.3,10,0.31,483.5,no colapso
0.2,0.3,10,0.32,323.7,colapso
0.2,0.3,10,0.32,462.1,no colapso
