qfix, qfluct,cost,p,time,colapso
0.1,0.4,10,0,57.4,colapso
0.1,0.4,10,0,56.3,no colapso
0.1,0.4,10,0.01,66.4,colapso
0.1,0.4,10,0.01,65.8,no colapso
0.1,0.4,10,0.02,65.7,colapso
0.1,0.4,10,0.02,65.3,no colapso
0.1,0.4,10,0.03,64.7,colapso
0.1,0.4,10,0.03,66.9,no colapso
0.1,0.4,10,0.04,64.7,colapso
0.1,0.4,10,0.04,64.8,no colapso
0.1,0.4,10,0.05,65.4,colapso
0.1,0.4,10,0.05,65.1,no colapso
0.1,0.4,10,0.06,64.9,colapso
0.1,0.4,10,0.06,65.7,no colapso
0.1,0.4,10,0.07,67.3,colapso
0.1,0.4,10,0.07,66.4,no colapso
0.1,0.4,10,0.08,66.2,colapso
0.1,0.4,10,0.08,66.8,no colapso
0.1,0.4,10,0.09,67.4,colapso
0.1,0.4,10,0.09,67.4,no colapso
0.1,0.4,10,0.1,66.5,colapso
0.1,0.4,10,0.1,66.5,no colapso
0.1,0.4,10,0.11,71.8,colapso
0.1,0.4,10,0.11,72.1,no colapso
0.1,0.4,10,0.12,71.5,colapso
0.1,0.4,10,0.12,71.8,no colapso
0.1,0.4,10,0.13,73.2,colapso
0.1,0.4,10,0.13,74.5,no colapso
0.1,0.4,10,0.14,72.8,colapso
0.1,0.4,10,0.14,72.8,no colapso
0.1,0.4,10,0.15,72.8,colapso
0.1,0.4,10,0.15,72.8,no colapso
0.1,0.4,10,0.16,73.3,colapso
0.1,0.4,10,0.16,73.7,no colapso
0.1,0.4,10,0.17,75.8,colapso
0.1,0.4,10,0.17,76.2,no colapso
0.1,0.4,10,0.18,75.2,colapso
0.1,0.4,10,0.18,73.7,no colapso
0.1,0.4,10,0.19,73.8,colapso
0.1,0.4,10,0.19,74.6,no colapso
0.1,0.4,10,0.2,74.4,colapso
0.1,0.4,10,0.2,74,no colapso
0.1,0.4,10,0.21,87.4,colapso
0.1,0.4,10,0.21,87.7,no colapso
0.1,0.4,10,0.22,87.9,colapso
0.1,0.4,10,0.22,88.3,no colapso
0.1,0.4,10,0.23,87.4,colapso
0.1,0.4,10,0.23,87.9,no colapso
0.1,0.4,10,0.24,87.6,colapso
0.1,0.4,10,0.24,87.7,no colapso
0.1,0.4,10,0.25,87.7,colapso
0.1,0.4,10,0.25,88.1,no colapso
0.1,0.4,10,0.26,87.8,colapso
0.1,0.4,10,0.26,88.6,no colapso
0.1,0.4,10,0.27,87.9,colapso
0.1,0.4,10,0.27,88.6,no colapso
0.1,0.4,10,0.28,90.7,colapso
0.1,0.4,10,0.28,90.2,no colapso
0.1,0.4,10,0.29,88.9,colapso
0.1,0.4,10,0.29,88.5,no colapso
0.1,0.4,10,0.3,91.3,colapso
0.1,0.4,10,0.3,89.9,no colapso
0.1,0.4,10,0.31,94.6,colapso
0.1,0.4,10,0.31,94.5,no colapso
0.1,0.4,10,0.32,92,colapso
0.1,0.4,10,0.32,92.3,no colapso
0.1,0.4,10,0.33,94.3,colapso
0.1,0.4,10,0.33,93.2,no colapso
0.1,0.4,10,0.34,94.4,colapso
0.1,0.4,10,0.34,95,no colapso
0.1,0.4,10,0.35,94.3,colapso
0.1,0.4,10,0.35,97,no colapso
0.1,0.4,10,0.36,100.1,colapso
0.1,0.4,10,0.36,99.3,no colapso
0.1,0.4,10,0.37,100,colapso
0.1,0.4,10,0.37,98.8,no colapso
0.1,0.4,10,0.38,99,colapso
0.1,0.4,10,0.38,98.6,no colapso
0.1,0.4,10,0.39,98.1,colapso
0.1,0.4,10,0.39,98.4,no colapso
0.1,0.4,10,0.4,102.6,colapso
0.1,0.4,10,0.4,102.9,no colapso
0.1,0.4,10,0.41,122.4,colapso
0.1,0.4,10,0.41,123.6,no colapso
0.1,0.4,10,0.42,120.8,colapso
0.1,0.4,10,0.42,122,no colapso
0.1,0.4,10,0.43,123.8,colapso
0.1,0.4,10,0.43,122.9,no colapso
0.1,0.4,10,0.44,127.4,colapso
0.1,0.4,10,0.44,127.6,no colapso
0.1,0.4,10,0.45,126.9,colapso
0.1,0.4,10,0.45,127.9,no colapso
0.1,0.4,10,0.46,134.2,colapso
0.1,0.4,10,0.46,132,no colapso
0.1,0.4,10,0.47,138.3,colapso
0.1,0.4,10,0.47,140.3,no colapso
0.1,0.4,10,0.48,140.3,colapso
0.1,0.4,10,0.48,137.1,no colapso
