qfix, qfluct, l,p,dof,time,method
0.4,0.2,10,0,0.567,11537,pg
0.4,0.2,10,0,0.567,497,vpg
0.4,0.2,10,0.01,0.5553,11338,pg
0.4,0.2,10,0.01,0.5476,670,vpg
0.4,0.2,10,0.02,0.543567,11895,pg
0.4,0.2,10,0.02,0.5282,640,vpg
0.4,0.2,10,0.03,0.535067,11387,pg
0.4,0.2,10,0.03,0.508801,606,vpg
0.4,0.2,10,0.04,0.525933,11636,pg
0.4,0.2,10,0.04,0.4894,596,vpg
0.4,0.2,10,0.05,0.518433,11770,pg
0.4,0.2,10,0.05,0.47025,588,vpg
0.4,0.2,10,0.06,0.506067,11543,pg
0.4,0.2,10,0.06,0.4513,595,vpg
0.4,0.2,10,0.07,0.497333,11771,pg
0.4,0.2,10,0.07,0.43255,633,vpg
0.4,0.2,10,0.08,0.4869,11871,pg
0.4,0.2,10,0.08,0.4142,598,vpg
0.4,0.2,10,0.09,0.473867,11699,pg
0.4,0.2,10,0.09,0.3961,587,vpg
0.4,0.2,10,0.1,0.472133,11957,pg
0.4,0.2,10,0.1,0.378,577,vpg
0.4,0.2,10,0.11,0.465,11780,pg
0.4,0.2,10,0.11,0.3636,660,vpg
0.4,0.2,10,0.12,0.4491,12498,pg
0.4,0.2,10,0.12,0.3492,643,vpg
0.4,0.2,10,0.13,0.444767,12313,pg
0.4,0.2,10,0.13,0.33545,618,vpg
0.4,0.2,10,0.14,0.4394,11825,pg
0.4,0.2,10,0.14,0.3235,629,vpg
0.4,0.2,10,0.15,0.430033,12113,pg
0.4,0.2,10,0.15,0.3125,649,vpg
0.4,0.2,10,0.16,0.4192,12412,pg
0.4,0.2,10,0.16,0.3024,636,vpg
0.4,0.2,10,0.17,0.407667,12972,pg
0.4,0.2,10,0.17,0.29255,664,vpg
0.4,0.2,10,0.18,0.4022,13147,pg
0.4,0.2,10,0.18,0.2827,667,vpg
0.4,0.2,10,0.19,0.394267,13159,pg
0.4,0.2,10,0.19,0.27285,663,vpg
0.4,0.2,10,0.2,0.382667,13076,pg
0.4,0.2,10,0.2,0.263,638,vpg
0.4,0.2,10,0.21,0.381567,13250,pg
