qfix, qfluct, l,p,dof,time,method
0.1,0.4,20,0,4.489,9726,pg
0.1,0.4,20,0,4.489,4003,vpg
0.1,0.4,20,0.01,4.42807,11413,pg
0.1,0.4,20,0.01,4.4285,5008,vpg
0.1,0.4,20,0.02,4.36679,14365,pg
0.1,0.4,20,0.02,4.36835,5101,vpg
0.1,0.4,20,0.03,4.30979,13792,pg
0.1,0.4,20,0.03,4.30768,3970,vpg
0.1,0.4,20,0.04,4.25019,13692,pg
0.1,0.4,20,0.04,4.24751,3838,vpg
0.1,0.4,20,0.05,4.18894,15560,pg
0.1,0.4,20,0.05,4.18703,3834,vpg
0.1,0.4,20,0.06,4.12691,19316,pg
0.1,0.4,20,0.06,4.12657,4867,vpg
0.1,0.4,20,0.07,4.06751,25404,pg
0.1,0.4,20,0.07,4.06641,4836,vpg
0.1,0.4,20,0.08,4.00274,26602,pg
0.1,0.4,20,0.08,4.00569,5512,vpg
0.1,0.4,20,0.09,3.9433,30861,pg
0.1,0.4,20,0.09,3.94551,5149,vpg
0.1,0.4,20,0.1,3.88601,32535,pg
0.1,0.4,20,0.1,3.88506,5385,vpg
0.1,0.4,20,0.11,3.82475,35511,pg
0.1,0.4,20,0.11,3.82461,5136,vpg
0.1,0.4,20,0.12,3.76467,38665,pg
0.1,0.4,20,0.12,3.7644,5575,vpg
0.1,0.4,20,0.13,3.7011,39469,pg
0.1,0.4,20,0.13,3.70376,5487,vpg
0.1,0.4,20,0.14,3.6471,42447,pg
0.1,0.4,20,0.14,3.64354,5524,vpg
0.1,0.4,20,0.15,3.58322,46938,pg
0.1,0.4,20,0.15,3.58309,5710,vpg
0.1,0.4,20,0.16,3.53068,50181,pg
0.1,0.4,20,0.16,3.52265,6123,vpg
0.1,0.4,20,0.17,3.46896,53622,pg
0.1,0.4,20,0.17,3.46242,6128,vpg
0.1,0.4,20,0.18,3.41126,56331,pg
0.1,0.4,20,0.18,3.4018,5913,vpg
0.1,0.4,20,0.19,3.34844,57186,pg
0.1,0.4,20,0.19,3.34156,5553,vpg
0.1,0.4,20,0.2,3.28921,62290,pg
0.1,0.4,20,0.2,3.28113,6291,vpg
0.1,0.4,20,0.21,3.23259,67068,pg
0.1,0.4,20,0.21,3.22072,6894,vpg
0.1,0.4,20,0.22,3.16832,71426,pg
0.1,0.4,20,0.22,3.16042,7573,vpg
0.1,0.4,20,0.23,3.10933,73928,pg
0.1,0.4,20,0.23,3.09987,6912,vpg
0.1,0.4,20,0.24,3.04562,77929,pg
0.1,0.4,20,0.24,3.03955,7070,vpg
0.1,0.4,20,0.25,2.98878,82628,pg
0.1,0.4,20,0.25,2.97916,7047,vpg
0.1,0.4,20,0.26,2.92928,86904,pg
0.1,0.4,20,0.26,2.91876,6850,vpg
0.1,0.4,20,0.27,2.8732,91182,pg
0.1,0.4,20,0.27,2.85843,7039,vpg
0.1,0.4,20,0.28,2.81503,98270,pg
0.1,0.4,20,0.28,2.79791,6871,vpg
0.1,0.4,20,0.29,2.75161,103790,pg
0.1,0.4,20,0.29,2.73757,6697,vpg
0.1,0.4,20,0.3,2.69157,109678,pg
0.1,0.4,20,0.3,2.67719,7518,vpg
0.1,0.4,20,0.31,2.63693,115412,pg
0.1,0.4,20,0.31,2.6168,7772,vpg
0.1,0.4,20,0.32,2.57792,120379,pg
0.1,0.4,20,0.32,2.55645,7338,vpg
0.1,0.4,20,0.33,2.51834,131460,pg
0.1,0.4,20,0.33,2.49596,7255,vpg
0.1,0.4,20,0.34,2.46176,135023,pg
0.1,0.4,20,0.34,2.43559,7573,vpg
0.1,0.4,20,0.35,2.39483,136201,pg
0.1,0.4,20,0.35,2.37522,8090,vpg
0.1,0.4,20,0.36,2.33025,156466,pg
0.1,0.4,20,0.36,2.31485,8137,vpg
0.1,0.4,20,0.37,2.28706,158949,pg
0.1,0.4,20,0.37,2.25446,6245,vpg
0.1,0.4,20,0.38,2.22821,162057,pg
0.1,0.4,20,0.38,2.19401,7685,vpg
0.1,0.4,20,0.39,2.16785,174171,pg
0.1,0.4,20,0.39,2.1336,8311,vpg
0.1,0.4,20,0.4,2.10812,186565,pg
0.1,0.4,20,0.4,2.07325,6390,vpg
0.1,0.4,20,0.41,2.05082,203936,pg
0.1,0.4,20,0.41,2.0129,10162,vpg
0.1,0.4,20,0.42,1.9879,210776,pg
