qfix, qfluct, l,p,dof,time,method
0.3,0.3,10,0,1.768,2981,pg
0.3,0.3,10,0,1.768,401,vpg
0.3,0.3,10,0.01,1.7252,3287,pg
0.3,0.3,10,0.01,1.7206,572,vpg
0.3,0.3,10,0.02,1.67633,3563,pg
0.3,0.3,10,0.02,1.67321,569,vpg
0.3,0.3,10,0.03,1.6398,3762,pg
0.3,0.3,10,0.03,1.62579,571,vpg
0.3,0.3,10,0.04,1.5915,4254,pg
0.3,0.3,10,0.04,1.5784,584,vpg
0.3,0.3,10,0.05,1.54273,4432,pg
0.3,0.3,10,0.05,1.531,543,vpg
0.3,0.3,10,0.06,1.50757,4732,pg
0.3,0.3,10,0.06,1.4836,589,vpg
0.3,0.3,10,0.07,1.46577,5240,pg
0.3,0.3,10,0.07,1.4362,633,vpg
0.3,0.3,10,0.08,1.39773,6129,pg
0.3,0.3,10,0.08,1.3888,633,vpg
0.3,0.3,10,0.09,1.37067,6587,pg
0.3,0.3,10,0.09,1.3414,663,vpg
0.3,0.3,10,0.1,1.32007,7407,pg
0.3,0.3,10,0.1,1.294,615,vpg
0.3,0.3,10,0.11,1.28897,7623,pg
0.3,0.3,10,0.11,1.2466,828,vpg
0.3,0.3,10,0.12,1.22687,8931,pg
0.3,0.3,10,0.12,1.1992,765,vpg
0.3,0.3,10,0.13,1.20303,10924,pg
0.3,0.3,10,0.13,1.1518,869,vpg
0.3,0.3,10,0.14,1.15023,12552,pg
0.3,0.3,10,0.14,1.1044,982,vpg
0.3,0.3,10,0.15,1.12133,12430,pg
0.3,0.3,10,0.15,1.057,958,vpg
0.3,0.3,10,0.16,1.0745,14146,pg
0.3,0.3,10,0.16,1.0096,1163,vpg
0.3,0.3,10,0.17,1.0563,14925,pg
0.3,0.3,10,0.17,0.962201,1217,vpg
0.3,0.3,10,0.18,1.01287,14818,pg
0.3,0.3,10,0.18,0.914798,1339,vpg
0.3,0.3,10,0.19,0.977267,14781,pg
0.3,0.3,10,0.19,0.867398,1520,vpg
0.3,0.3,10,0.2,0.9575,14021,pg
0.3,0.3,10,0.2,0.82,1528,vpg
0.3,0.3,10,0.21,0.932133,14815,pg
0.3,0.3,10,0.21,0.7729,4954,vpg
0.3,0.3,10,0.22,0.8964,14291,pg
0.3,0.3,10,0.22,0.7258,6151,vpg
0.3,0.3,10,0.23,0.870233,13923,pg
0.3,0.3,10,0.23,0.679,6612,vpg
0.3,0.3,10,0.24,0.846467,13720,pg
0.3,0.3,10,0.24,0.633,8484,vpg
0.3,0.3,10,0.25,0.8332,14041,pg
0.3,0.3,10,0.25,0.59925,7393,vpg
0.3,0.3,10,0.26,0.795033,13642,pg
0.3,0.3,10,0.26,0.5694,7694,vpg
0.3,0.3,10,0.27,0.763933,13644,pg
0.3,0.3,10,0.27,0.54055,8532,vpg
0.3,0.3,10,0.28,0.7665,14072,pg
0.3,0.3,10,0.28,0.5132,8325,vpg
0.3,0.3,10,0.29,0.733,13692,pg
0.3,0.3,10,0.29,0.4887,6519,vpg
0.3,0.3,10,0.3,0.7055,13566,pg
0.3,0.3,10,0.3,0.465,3958,vpg
0.3,0.3,10,0.31,0.704933,14200,pg
0.3,0.3,10,0.31,0.4448,3578,vpg
0.3,0.3,10,0.32,0.672167,13233,pg
0.3,0.3,10,0.32,0.4246,3702,vpg
