qfix, qfluct, l,p,dof,time,method
0.2,0.3,5,0,3.32,0,pg
0.2,0.3,5,0,3.32,3,vpg
0.2,0.3,5,0.01,3.2704,0,pg
0.2,0.3,5,0.01,3.2684,3,vpg
0.2,0.3,5,0.02,3.23227,0,pg
0.2,0.3,5,0.02,3.2168,3,vpg
0.2,0.3,5,0.03,3.17147,2,pg
0.2,0.3,5,0.03,3.1652,3,vpg
0.2,0.3,5,0.04,3.12613,7,pg
0.2,0.3,5,0.04,3.1136,3,vpg
0.2,0.3,5,0.05,3.07627,12,pg
0.2,0.3,5,0.05,3.062,4,vpg
0.2,0.3,5,0.06,3.02,23,pg
0.2,0.3,5,0.06,3.0104,3,vpg
0.2,0.3,5,0.07,2.98773,19,pg
0.2,0.3,5,0.07,2.9588,3,vpg
0.2,0.3,5,0.08,2.91867,19,pg
0.2,0.3,5,0.08,2.9072,3,vpg
0.2,0.3,5,0.09,2.89413,28,pg
0.2,0.3,5,0.09,2.8556,3,vpg
0.2,0.3,5,0.1,2.8008,25,pg
0.2,0.3,5,0.1,2.804,3,vpg
0.2,0.3,5,0.11,2.75467,27,pg
0.2,0.3,5,0.11,2.7524,3,vpg
0.2,0.3,5,0.12,2.72587,29,pg
0.2,0.3,5,0.12,2.7008,3,vpg
0.2,0.3,5,0.13,2.63893,28,pg
0.2,0.3,5,0.13,2.6492,4,vpg
0.2,0.3,5,0.14,2.6416,29,pg
0.2,0.3,5,0.14,2.5976,3,vpg
0.2,0.3,5,0.15,2.5824,29,pg
0.2,0.3,5,0.15,2.546,4,vpg
0.2,0.3,5,0.16,2.61867,29,pg
0.2,0.3,5,0.16,2.4944,4,vpg
0.2,0.3,5,0.17,2.51013,31,pg
0.2,0.3,5,0.17,2.4428,3,vpg
0.2,0.3,5,0.18,2.4696,32,pg
0.2,0.3,5,0.18,2.3912,4,vpg
0.2,0.3,5,0.19,2.34827,35,pg
0.2,0.3,5,0.19,2.3396,4,vpg
0.2,0.3,5,0.2,2.36187,39,pg
0.2,0.3,5,0.2,2.288,4,vpg
0.2,0.3,5,0.21,2.21627,44,pg
0.2,0.3,5,0.21,2.2364,5,vpg
0.2,0.3,5,0.22,2.2408,43,pg
0.2,0.3,5,0.22,2.1848,5,vpg
0.2,0.3,5,0.23,2.16987,46,pg
0.2,0.3,5,0.23,2.1332,5,vpg
0.2,0.3,5,0.24,2.15893,43,pg
0.2,0.3,5,0.24,2.0816,5,vpg
0.2,0.3,5,0.25,2.05573,62,pg
0.2,0.3,5,0.25,2.03,5,vpg
0.2,0.3,5,0.26,2.04133,58,pg
0.2,0.3,5,0.26,1.9784,5,vpg
0.2,0.3,5,0.27,1.97387,61,pg
0.2,0.3,5,0.27,1.9268,6,vpg
0.2,0.3,5,0.28,1.90533,66,pg
0.2,0.3,5,0.28,1.8752,6,vpg
0.2,0.3,5,0.29,1.9832,70,pg
0.2,0.3,5,0.29,1.8236,5,vpg
0.2,0.3,5,0.3,1.83467,68,pg
0.2,0.3,5,0.3,1.772,7,vpg
0.2,0.3,5,0.31,1.78213,83,pg
0.2,0.3,5,0.31,1.7204,6,vpg
0.2,0.3,5,0.32,1.7192,84,pg
0.2,0.3,5,0.32,1.6688,6,vpg
0.2,0.3,5,0.33,1.77067,74,pg
0.2,0.3,5,0.33,1.6172,6,vpg
0.2,0.3,5,0.34,1.65573,76,pg
0.2,0.3,5,0.34,1.5656,6,vpg
0.2,0.3,5,0.35,1.59707,91,pg
0.2,0.3,5,0.35,1.514,6,vpg
0.2,0.3,5,0.36,1.55867,94,pg
0.2,0.3,5,0.36,1.4624,6,vpg
0.2,0.3,5,0.37,1.52987,87,pg
0.2,0.3,5,0.37,1.4108,7,vpg
0.2,0.3,5,0.38,1.5048,88,pg
0.2,0.3,5,0.38,1.3592,7,vpg
0.2,0.3,5,0.39,1.43813,104,pg
0.2,0.3,5,0.39,1.3076,7,vpg
0.2,0.3,5,0.4,1.44907,106,pg
0.2,0.3,5,0.4,1.256,7,vpg
0.2,0.3,5,0.41,1.3168,114,pg
0.2,0.3,5,0.41,1.208,8,vpg
0.2,0.3,5,0.42,1.28347,126,pg
0.2,0.3,5,0.42,1.16,9,vpg
0.2,0.3,5,0.43,1.25253,133,pg
0.2,0.3,5,0.43,1.112,8,vpg
0.2,0.3,5,0.44,1.20613,141,pg
0.2,0.3,5,0.44,1.064,10,vpg
0.2,0.3,5,0.45,1.18,139,pg
0.2,0.3,5,0.45,1.016,10,vpg
0.2,0.3,5,0.46,1.132,146,pg
0.2,0.3,5,0.46,0.968,9,vpg
0.2,0.3,5,0.47,1.11973,146,pg
0.2,0.3,5,0.47,0.9204,8,vpg
0.2,0.3,5,0.48,1.0808,148,pg
0.2,0.3,5,0.48,0.8736,9,vpg
0.2,0.3,5,0.49,1.07467,155,pg
0.2,0.3,5,0.49,0.8288,9,vpg
0.2,0.3,5,0.5,0.992267,156,pg
0.2,0.3,5,0.5,0.784,9,vpg
0.2,0.3,5,0.51,0.976533,163,pg
0.2,0.3,5,0.51,0.7392,10,vpg
0.2,0.3,5,0.52,0.963467,166,pg
0.2,0.3,5,0.52,0.6944,10,vpg
0.2,0.3,5,0.53,0.8576,180,pg
0.2,0.3,5,0.53,0.6496,11,vpg
