qfix, qfluct, l,p,dof,time,method
0.2,0.3,10,0,3.032,708,pg
0.2,0.3,10,0,3.032,108,vpg
0.2,0.3,10,0.01,2.99013,764,pg
0.2,0.3,10,0.01,2.98859,125,vpg
0.2,0.3,10,0.02,2.93887,817,pg
0.2,0.3,10,0.02,2.9452,124,vpg
0.2,0.3,10,0.03,2.9024,877,pg
0.2,0.3,10,0.03,2.9018,125,vpg
0.2,0.3,10,0.04,2.85857,924,pg
0.2,0.3,10,0.04,2.85841,125,vpg
0.2,0.3,10,0.05,2.81203,1005,pg
0.2,0.3,10,0.05,2.815,124,vpg
0.2,0.3,10,0.06,2.76727,1050,pg
0.2,0.3,10,0.06,2.77159,140,vpg
0.2,0.3,10,0.07,2.74697,1185,pg
0.2,0.3,10,0.07,2.7282,137,vpg
0.2,0.3,10,0.08,2.69327,1203,pg
0.2,0.3,10,0.08,2.6848,132,vpg
0.2,0.3,10,0.09,2.63313,1264,pg
0.2,0.3,10,0.09,2.64141,130,vpg
0.2,0.3,10,0.1,2.58927,1327,pg
0.2,0.3,10,0.1,2.598,132,vpg
0.2,0.3,10,0.11,2.56257,1397,pg
0.2,0.3,10,0.11,2.55459,139,vpg
0.2,0.3,10,0.12,2.49703,1515,pg
0.2,0.3,10,0.12,2.5112,142,vpg
0.2,0.3,10,0.13,2.48657,1521,pg
0.2,0.3,10,0.13,2.4678,148,vpg
0.2,0.3,10,0.14,2.43357,1639,pg
0.2,0.3,10,0.14,2.42441,152,vpg
0.2,0.3,10,0.15,2.3893,1709,pg
0.2,0.3,10,0.15,2.381,145,vpg
0.2,0.3,10,0.16,2.3534,1831,pg
0.2,0.3,10,0.16,2.33759,161,vpg
0.2,0.3,10,0.17,2.32433,1780,pg
0.2,0.3,10,0.17,2.2942,147,vpg
0.2,0.3,10,0.18,2.26907,1983,pg
0.2,0.3,10,0.18,2.2508,149,vpg
0.2,0.3,10,0.19,2.22143,2020,pg
0.2,0.3,10,0.19,2.20741,143,vpg
0.2,0.3,10,0.2,2.17963,2380,pg
0.2,0.3,10,0.2,2.164,161,vpg
0.2,0.3,10,0.21,2.14527,2413,pg
0.2,0.3,10,0.21,2.1207,220,vpg
0.2,0.3,10,0.22,2.10503,2466,pg
0.2,0.3,10,0.22,2.0774,210,vpg
0.2,0.3,10,0.23,2.0425,2628,pg
0.2,0.3,10,0.23,2.0341,210,vpg
0.2,0.3,10,0.24,2.0121,2790,pg
0.2,0.3,10,0.24,1.9908,223,vpg
0.2,0.3,10,0.25,1.97593,2797,pg
0.2,0.3,10,0.25,1.9475,184,vpg
0.2,0.3,10,0.26,1.9368,2706,pg
0.2,0.3,10,0.26,1.9042,197,vpg
0.2,0.3,10,0.27,1.8969,2882,pg
0.2,0.3,10,0.27,1.8609,192,vpg
0.2,0.3,10,0.28,1.84927,2918,pg
0.2,0.3,10,0.28,1.8176,196,vpg
0.2,0.3,10,0.29,1.8031,3051,pg
0.2,0.3,10,0.29,1.7743,196,vpg
0.2,0.3,10,0.3,1.77543,3206,pg
0.2,0.3,10,0.3,1.731,195,vpg
0.2,0.3,10,0.31,1.7293,3479,pg
0.2,0.3,10,0.31,1.6877,210,vpg
0.2,0.3,10,0.32,1.65753,3812,pg
0.2,0.3,10,0.32,1.6444,205,vpg
0.2,0.3,10,0.33,1.66427,3629,pg
0.2,0.3,10,0.33,1.6011,210,vpg
0.2,0.3,10,0.34,1.6187,3987,pg
0.2,0.3,10,0.34,1.5578,218,vpg
0.2,0.3,10,0.35,1.55383,4376,pg
0.2,0.3,10,0.35,1.5145,216,vpg
0.2,0.3,10,0.36,1.52637,4543,pg
0.2,0.3,10,0.36,1.4712,231,vpg
0.2,0.3,10,0.37,1.4721,5113,pg
0.2,0.3,10,0.37,1.4279,235,vpg
0.2,0.3,10,0.38,1.42773,5495,pg
0.2,0.3,10,0.38,1.3846,236,vpg
0.2,0.3,10,0.39,1.40843,6327,pg
0.2,0.3,10,0.39,1.3413,234,vpg
0.2,0.3,10,0.4,1.37357,6170,pg
0.2,0.3,10,0.4,1.298,253,vpg
0.2,0.3,10,0.41,1.3109,7867,pg
0.2,0.3,10,0.41,1.25475,347,vpg
0.2,0.3,10,0.42,1.29233,8703,pg
0.2,0.3,10,0.42,1.2115,341,vpg
0.2,0.3,10,0.43,1.24407,8766,pg
0.2,0.3,10,0.43,1.16825,372,vpg
0.2,0.3,10,0.44,1.19613,10169,pg
0.2,0.3,10,0.44,1.125,390,vpg
0.2,0.3,10,0.45,1.18233,10528,pg
0.2,0.3,10,0.45,1.082,409,vpg
0.2,0.3,10,0.46,1.15823,11428,pg
0.2,0.3,10,0.46,1.039,472,vpg
0.2,0.3,10,0.47,1.11067,11939,pg
0.2,0.3,10,0.47,0.996,628,vpg
0.2,0.3,10,0.48,1.0656,11596,pg
0.2,0.3,10,0.48,0.953,588,vpg
0.2,0.3,10,0.49,1.0447,11732,pg
0.2,0.3,10,0.49,0.910748,602,vpg
0.2,0.3,10,0.5,1.02003,13285,pg
0.2,0.3,10,0.5,0.8685,670,vpg
0.2,0.3,10,0.51,0.992633,12790,pg
0.2,0.3,10,0.51,0.826351,877,vpg
0.2,0.3,10,0.52,0.965267,12559,pg
0.2,0.3,10,0.52,0.7842,994,vpg
0.2,0.3,10,0.53,0.944167,11979,pg
0.2,0.3,10,0.53,0.74205,1492,vpg
0.2,0.3,10,0.54,0.920233,11714,pg
0.2,0.3,10,0.54,0.699899,2174,vpg
0.2,0.3,10,0.55,0.8821,11954,pg
0.2,0.3,10,0.55,0.66125,2501,vpg
0.2,0.3,10,0.56,0.866667,12025,pg
0.2,0.3,10,0.56,0.6304,4045,vpg
0.2,0.3,10,0.57,0.847267,11610,pg
0.2,0.3,10,0.57,0.601899,2989,vpg
0.2,0.3,10,0.58,0.804167,12251,pg
0.2,0.3,10,0.58,0.573701,2747,vpg
0.2,0.3,10,0.59,0.7863,12054,pg
0.2,0.3,10,0.59,0.5471,3270,vpg
0.2,0.3,10,0.6,0.7682,11723,pg
0.2,0.3,10,0.6,0.521,1671,vpg
0.2,0.3,10,0.61,0.737867,11823,pg
0.2,0.3,10,0.61,0.5014,2514,vpg
0.2,0.3,10,0.62,0.716967,11335,pg
0.2,0.3,10,0.62,0.4828,1941,vpg
0.2,0.3,10,0.63,0.705967,11372,pg
0.2,0.3,10,0.63,0.4645,1301,vpg
0.2,0.3,10,0.64,0.678533,11785,pg
0.2,0.3,10,0.64,0.448,1344,vpg
0.2,0.3,10,0.65,0.671633,11437,pg
0.2,0.3,10,0.65,0.43325,1178,vpg
0.2,0.3,10,0.66,0.6356,11624,pg
0.2,0.3,10,0.66,0.4195,913,vpg
0.2,0.3,10,0.67,0.6304,11529,pg
0.2,0.3,10,0.67,0.40575,929,vpg
0.2,0.3,10,0.68,0.5995,11614,pg
0.2,0.3,10,0.68,0.3938,867,vpg
0.2,0.3,10,0.69,0.5787,11593,pg
0.2,0.3,10,0.69,0.3823,824,vpg
0.2,0.3,10,0.7,0.573333,11668,pg
0.2,0.3,10,0.7,0.372,700,vpg
0.2,0.3,10,0.71,0.556133,11940,pg
0.2,0.3,10,0.71,0.36395,924,vpg
0.2,0.3,10,0.72,0.5386,11954,pg
0.2,0.3,10,0.72,0.3564,677,vpg
0.2,0.3,10,0.73,0.528267,11705,pg
0.2,0.3,10,0.73,0.3491,663,vpg
0.2,0.3,10,0.74,0.505433,12017,pg
0.2,0.3,10,0.74,0.3421,647,vpg
0.2,0.3,10,0.75,0.486767,12125,pg
0.2,0.3,10,0.75,0.3355,588,vpg
0.2,0.3,10,0.76,0.472233,12208,pg
0.2,0.3,10,0.76,0.329,586,vpg
0.2,0.3,10,0.77,0.459567,12339,pg
0.2,0.3,10,0.77,0.32275,584,vpg
0.2,0.3,10,0.78,0.444267,12428,pg
0.2,0.3,10,0.78,0.3165,581,vpg
0.2,0.3,10,0.79,0.436967,12436,pg
0.2,0.3,10,0.79,0.31025,563,vpg
0.2,0.3,10,0.8,0.4316,12364,pg
0.2,0.3,10,0.8,0.304,540,vpg
0.2,0.3,10,0.81,0.411567,12673,pg
0.2,0.3,10,0.81,0.29935,547,vpg
0.2,0.3,10,0.82,0.3972,12791,pg
0.2,0.3,10,0.82,0.2947,558,vpg
0.2,0.3,10,0.83,0.385233,12932,pg
0.2,0.3,10,0.83,0.29055,540,vpg
0.2,0.3,10,0.84,0.3754,12941,pg
0.2,0.3,10,0.84,0.2864,558,vpg
