qfix, qfluct, l,p,dof,time,method
0.3,0.3,5,0,1.368,120,pg
0.3,0.3,5,0,1.368,14,vpg
0.3,0.3,5,0.01,1.33653,141,pg
0.3,0.3,5,0.01,1.3224,28,vpg
0.3,0.3,5,0.02,1.30827,131,pg
0.3,0.3,5,0.02,1.2768,25,vpg
0.3,0.3,5,0.03,1.2496,146,pg
0.3,0.3,5,0.03,1.2312,25,vpg
0.3,0.3,5,0.04,1.23253,150,pg
0.3,0.3,5,0.04,1.1856,26,vpg
0.3,0.3,5,0.05,1.1824,160,pg
0.3,0.3,5,0.05,1.14,24,vpg
0.3,0.3,5,0.06,1.17493,169,pg
0.3,0.3,5,0.06,1.0944,30,vpg
0.3,0.3,5,0.07,1.1328,173,pg
0.3,0.3,5,0.07,1.0488,31,vpg
0.3,0.3,5,0.08,1.1088,173,pg
0.3,0.3,5,0.08,1.0032,30,vpg
0.3,0.3,5,0.09,1.0744,176,pg
0.3,0.3,5,0.09,0.9576,32,vpg
0.3,0.3,5,0.1,1.068,184,pg
0.3,0.3,5,0.1,0.912,31,vpg
0.3,0.3,5,0.11,1.0128,188,pg
0.3,0.3,5,0.11,0.8792,36,vpg
0.3,0.3,5,0.12,1.02347,191,pg
0.3,0.3,5,0.12,0.8464,27,vpg
0.3,0.3,5,0.13,0.971733,202,pg
0.3,0.3,5,0.13,0.8144,21,vpg
0.3,0.3,5,0.14,0.948267,195,pg
0.3,0.3,5,0.14,0.788,24,vpg
0.3,0.3,5,0.15,0.9512,206,pg
0.3,0.3,5,0.15,0.762,20,vpg
0.3,0.3,5,0.16,0.94,207,pg
0.3,0.3,5,0.16,0.736,17,vpg
0.3,0.3,5,0.17,0.918933,212,pg
0.3,0.3,5,0.17,0.71,18,vpg
0.3,0.3,5,0.18,0.859733,224,pg
0.3,0.3,5,0.18,0.684,20,vpg
0.3,0.3,5,0.19,0.858933,218,pg
0.3,0.3,5,0.19,0.658,18,vpg
0.3,0.3,5,0.2,0.828,212,pg
0.3,0.3,5,0.2,0.632,16,vpg
0.3,0.3,5,0.21,0.8144,211,pg
0.3,0.3,5,0.21,0.6096,18,vpg
0.3,0.3,5,0.22,0.785867,217,pg
0.3,0.3,5,0.22,0.5872,18,vpg
0.3,0.3,5,0.23,0.753067,221,pg
0.3,0.3,5,0.23,0.5648,16,vpg
0.3,0.3,5,0.24,0.7264,216,pg
0.3,0.3,5,0.24,0.544,17,vpg
0.3,0.3,5,0.25,0.736533,235,pg
0.3,0.3,5,0.25,0.524,15,vpg
0.3,0.3,5,0.26,0.672533,243,pg
0.3,0.3,5,0.26,0.504,15,vpg
0.3,0.3,5,0.27,0.706933,235,pg
0.3,0.3,5,0.27,0.484,18,vpg
0.3,0.3,5,0.28,0.676267,231,pg
0.3,0.3,5,0.28,0.464,15,vpg
0.3,0.3,5,0.29,0.640533,248,pg
0.3,0.3,5,0.29,0.444,15,vpg
0.3,0.3,5,0.3,0.662667,233,pg
0.3,0.3,5,0.3,0.424,15,vpg
0.3,0.3,5,0.31,0.635733,249,pg
0.3,0.3,5,0.31,0.4072,15,vpg
0.3,0.3,5,0.32,0.5968,244,pg
0.3,0.3,5,0.32,0.3904,15,vpg
0.3,0.3,5,0.33,0.6264,238,pg
0.3,0.3,5,0.33,0.3748,15,vpg
0.3,0.3,5,0.34,0.6112,249,pg
0.3,0.3,5,0.34,0.3624,15,vpg
0.3,0.3,5,0.35,0.527467,286,pg
0.3,0.3,5,0.35,0.35,14,vpg
0.3,0.3,5,0.36,0.573867,267,pg
0.3,0.3,5,0.36,0.3376,14,vpg
0.3,0.3,5,0.37,0.54,266,pg
0.3,0.3,5,0.37,0.3252,15,vpg
0.3,0.3,5,0.38,0.542667,271,pg
0.3,0.3,5,0.38,0.3128,14,vpg
0.3,0.3,5,0.39,0.527467,265,pg
0.3,0.3,5,0.39,0.3004,14,vpg
0.3,0.3,5,0.4,0.505067,260,pg
0.3,0.3,5,0.4,0.288,14,vpg
0.3,0.3,5,0.41,0.489333,274,pg
0.3,0.3,5,0.41,0.282,14,vpg
0.3,0.3,5,0.42,0.5016,268,pg
0.3,0.3,5,0.42,0.276,14,vpg
0.3,0.3,5,0.43,0.457067,276,pg
0.3,0.3,5,0.43,0.27,13,vpg
0.3,0.3,5,0.44,0.438667,279,pg
0.3,0.3,5,0.44,0.264,14,vpg
0.3,0.3,5,0.45,0.444,273,pg
0.3,0.3,5,0.45,0.258,13,vpg
0.3,0.3,5,0.46,0.434933,281,pg
0.3,0.3,5,0.46,0.252,14,vpg
0.3,0.3,5,0.47,0.389333,286,pg
0.3,0.3,5,0.47,0.246,14,vpg
0.3,0.3,5,0.48,0.4128,280,pg
0.3,0.3,5,0.48,0.24,15,vpg
0.3,0.3,5,0.49,0.3992,301,pg
0.3,0.3,5,0.49,0.236,20,vpg
0.3,0.3,5,0.5,0.421067,311,pg
0.3,0.3,5,0.5,0.232,15,vpg
0.3,0.3,5,0.51,0.378133,292,pg
0.3,0.3,5,0.51,0.228,14,vpg
0.3,0.3,5,0.52,0.370667,299,pg
0.3,0.3,5,0.52,0.224,14,vpg
0.3,0.3,5,0.53,0.353067,300,pg
0.3,0.3,5,0.53,0.22,14,vpg
0.3,0.3,5,0.54,0.36,292,pg
0.3,0.3,5,0.54,0.216,14,vpg
0.3,0.3,5,0.55,0.334667,299,pg
0.3,0.3,5,0.55,0.212,13,vpg
0.3,0.3,5,0.56,0.330133,298,pg
0.3,0.3,5,0.56,0.208,14,vpg
0.3,0.3,5,0.57,0.314133,299,pg
0.3,0.3,5,0.57,0.204,14,vpg
0.3,0.3,5,0.58,0.307733,301,pg
0.3,0.3,5,0.58,0.2,14,vpg
0.3,0.3,5,0.59,0.313333,317,pg
0.3,0.3,5,0.59,0.196,13,vpg
0.3,0.3,5,0.6,0.328,310,pg
0.3,0.3,5,0.6,0.192,14,vpg
0.3,0.3,5,0.61,0.301333,313,pg
0.3,0.3,5,0.61,0.1896,14,vpg
0.3,0.3,5,0.62,0.3,310,pg
0.3,0.3,5,0.62,0.1872,14,vpg
0.3,0.3,5,0.63,0.290933,318,pg
0.3,0.3,5,0.63,0.1848,14,vpg
0.3,0.3,5,0.64,0.288533,315,pg
0.3,0.3,5,0.64,0.1824,14,vpg
0.3,0.3,5,0.65,0.266133,323,pg
0.3,0.3,5,0.65,0.18,14,vpg
0.3,0.3,5,0.66,0.263733,318,pg
0.3,0.3,5,0.66,0.1776,14,vpg
0.3,0.3,5,0.67,0.254933,321,pg
0.3,0.3,5,0.67,0.1752,14,vpg
0.3,0.3,5,0.68,0.244,325,pg
0.3,0.3,5,0.68,0.1728,14,vpg
0.3,0.3,5,0.69,0.2264,326,pg
0.3,0.3,5,0.69,0.1704,13,vpg
0.3,0.3,5,0.7,0.237067,329,pg
0.3,0.3,5,0.7,0.168,14,vpg
0.3,0.3,5,0.71,0.24,330,pg
0.3,0.3,5,0.71,0.1664,14,vpg
0.3,0.3,5,0.72,0.226667,337,pg
0.3,0.3,5,0.72,0.1648,13,vpg
0.3,0.3,5,0.73,0.2184,351,pg
0.3,0.3,5,0.73,0.1632,16,vpg
0.3,0.3,5,0.74,0.198133,359,pg
0.3,0.3,5,0.74,0.1616,14,vpg
0.3,0.3,5,0.75,0.2056,351,pg
0.3,0.3,5,0.75,0.16,13,vpg
0.3,0.3,5,0.76,0.215733,351,pg
0.3,0.3,5,0.76,0.1584,15,vpg
0.3,0.3,5,0.77,0.187467,353,pg
0.3,0.3,5,0.77,0.1568,14,vpg
0.3,0.3,5,0.78,0.198133,354,pg
0.3,0.3,5,0.78,0.1552,15,vpg
0.3,0.3,5,0.79,0.189333,358,pg
0.3,0.3,5,0.79,0.1536,14,vpg
0.3,0.3,5,0.8,0.184533,353,pg
0.3,0.3,5,0.8,0.152,13,vpg
0.3,0.3,5,0.81,0.177067,363,pg
0.3,0.3,5,0.81,0.1504,13,vpg
0.3,0.3,5,0.82,0.1688,364,pg
0.3,0.3,5,0.82,0.1488,13,vpg
0.3,0.3,5,0.83,0.168267,368,pg
0.3,0.3,5,0.83,0.1472,14,vpg
0.3,0.3,5,0.84,0.181067,384,pg
0.3,0.3,5,0.84,0.1456,15,vpg
0.3,0.3,5,0.85,0.170933,375,pg
0.3,0.3,5,0.85,0.144,14,vpg
0.3,0.3,5,0.86,0.1552,377,pg
0.3,0.3,5,0.86,0.1424,14,vpg
0.3,0.3,5,0.87,0.158133,388,pg
0.3,0.3,5,0.87,0.1408,13,vpg
0.3,0.3,5,0.88,0.155733,380,pg
0.3,0.3,5,0.88,0.1392,13,vpg
0.3,0.3,5,0.89,0.149867,380,pg
0.3,0.3,5,0.89,0.1376,14,vpg
0.3,0.3,5,0.9,0.1568,376,pg
0.3,0.3,5,0.9,0.136,13,vpg
0.3,0.3,5,0.91,0.140533,390,pg
0.3,0.3,5,0.91,0.1344,13,vpg
0.3,0.3,5,0.92,0.140533,388,pg
0.3,0.3,5,0.92,0.1328,14,vpg
0.3,0.3,5,0.93,0.1392,403,pg
0.3,0.3,5,0.93,0.1312,14,vpg
0.3,0.3,5,0.94,0.133867,393,pg
0.3,0.3,5,0.94,0.1296,13,vpg
0.3,0.3,5,0.95,0.137067,391,pg
0.3,0.3,5,0.95,0.128,13,vpg
0.3,0.3,5,0.96,0.129067,398,pg
0.3,0.3,5,0.96,0.1264,13,vpg
0.3,0.3,5,0.97,0.1264,396,pg
0.3,0.3,5,0.97,0.1248,14,vpg
0.3,0.3,5,0.98,0.1264,400,pg
0.3,0.3,5,0.98,0.1232,14,vpg
0.3,0.3,5,0.99,0.121333,413,pg
0.3,0.3,5,0.99,0.1216,14,vpg
0.3,0.3,5,1,0.12,415,pg
0.3,0.3,5,1,0.12,14,vpg
