qfix, qfluct, l,p,dof,time,method
0.4,0.2,5,0.57,0.22,302,pg
0.4,0.2,5,0.57,0.1396,12,vpg
0.4,0.2,5,0.58,0.209867,322,pg
0.4,0.2,5,0.58,0.1384,13,vpg
0.4,0.2,5,0.59,0.210933,317,pg
0.4,0.2,5,0.59,0.1372,12,vpg
0.4,0.2,5,0.6,0.1992,309,pg
0.4,0.2,5,0.6,0.136,12,vpg
0.4,0.2,5,0.61,0.199467,353,pg
0.4,0.2,5,0.61,0.1356,12,vpg
0.4,0.2,5,0.62,0.193333,322,pg
0.4,0.2,5,0.62,0.1352,12,vpg
0.4,0.2,5,0.63,0.198133,308,pg
0.4,0.2,5,0.63,0.1348,12,vpg
0.4,0.2,5,0.64,0.182667,315,pg
0.4,0.2,5,0.64,0.1344,12,vpg
0.4,0.2,5,0.65,0.1904,315,pg
0.4,0.2,5,0.65,0.134,12,vpg
0.4,0.2,5,0.66,0.173067,366,pg
0.4,0.2,5,0.66,0.1336,15,vpg
0.4,0.2,5,0.67,0.175467,327,pg
0.4,0.2,5,0.67,0.1332,12,vpg
0.4,0.2,5,0.68,0.1784,324,pg
0.4,0.2,5,0.68,0.1328,12,vpg
0.4,0.2,5,0.69,0.175467,325,pg
0.4,0.2,5,0.69,0.1324,13,vpg
0.4,0.2,5,0.7,0.182133,327,pg
0.4,0.2,5,0.7,0.132,12,vpg
0.4,0.2,5,0.71,0.169333,328,pg
0.4,0.2,5,0.71,0.1316,12,vpg
0.4,0.2,5,0.72,0.175467,324,pg
0.4,0.2,5,0.72,0.1312,13,vpg
0.4,0.2,5,0.73,0.169067,350,pg
0.4,0.2,5,0.73,0.1308,13,vpg
0.4,0.2,5,0.74,0.173333,353,pg
0.4,0.2,5,0.74,0.1304,13,vpg
0.4,0.2,5,0.75,0.1576,343,pg
0.4,0.2,5,0.75,0.13,13,vpg
0.4,0.2,5,0.76,0.1568,359,pg
0.4,0.2,5,0.76,0.1296,13,vpg
0.4,0.2,5,0.77,0.152,348,pg
0.4,0.2,5,0.77,0.1292,13,vpg
0.4,0.2,5,0.78,0.1544,350,pg
0.4,0.2,5,0.78,0.1288,12,vpg
0.4,0.2,5,0.79,0.151733,338,pg
0.4,0.2,5,0.79,0.1284,13,vpg
0.4,0.2,5,0.8,0.151733,334,pg
0.4,0.2,5,0.8,0.128,12,vpg
0.4,0.2,5,0.81,0.1496,349,pg
0.4,0.2,5,0.81,0.1276,12,vpg
0.4,0.2,5,0.82,0.1456,352,pg
0.4,0.2,5,0.82,0.1272,12,vpg
0.4,0.2,5,0.83,0.1448,336,pg
0.4,0.2,5,0.83,0.1268,12,vpg
0.4,0.2,5,0.84,0.144267,348,pg
0.4,0.2,5,0.84,0.1264,12,vpg
0.4,0.2,5,0.85,0.146133,367,pg
0.4,0.2,5,0.85,0.126,16,vpg
0.4,0.2,5,0.86,0.1496,355,pg
0.4,0.2,5,0.86,0.1256,12,vpg
0.4,0.2,5,0.87,0.137867,338,pg
0.4,0.2,5,0.87,0.1252,12,vpg
0.4,0.2,5,0.88,0.136267,350,pg
0.4,0.2,5,0.88,0.1248,13,vpg
0.4,0.2,5,0.89,0.133333,338,pg
0.4,0.2,5,0.89,0.1244,12,vpg
0.4,0.2,5,0.9,0.136267,339,pg
0.4,0.2,5,0.9,0.124,12,vpg
0.4,0.2,5,0.91,0.128,351,pg
0.4,0.2,5,0.91,0.1236,12,vpg
