qfix, qfluct, l,p,dof,time,method
0,0.4,10,0,6,0,pg
0,0.4,10,0,6,22,vpg
0,0.4,10,0.01,5.93767,0,pg
0,0.4,10,0.01,5.94225,25,vpg
0,0.4,10,0.02,5.89,0,pg
0,0.4,10,0.02,5.88447,24,vpg
0,0.4,10,0.03,5.8195,0,pg
0,0.4,10,0.03,5.82678,23,vpg
0,0.4,10,0.04,5.76933,0,pg
0,0.4,10,0.04,5.769,24,vpg
0,0.4,10,0.05,5.71117,0,pg
0,0.4,10,0.05,5.71125,23,vpg
0,0.4,10,0.06,5.6525,0,pg
0,0.4,10,0.06,5.6535,25,vpg
0,0.4,10,0.07,5.60183,0,pg
0,0.4,10,0.07,5.59572,25,vpg
0,0.4,10,0.08,5.53483,7,pg
0,0.4,10,0.08,5.53803,25,vpg
0,0.4,10,0.09,5.47883,10,pg
0,0.4,10,0.09,5.48025,25,vpg
0,0.4,10,0.1,5.41733,17,pg
0,0.4,10,0.1,5.4225,24,vpg
0,0.4,10,0.11,5.35567,29,pg
0,0.4,10,0.11,5.36475,26,vpg
0,0.4,10,0.12,5.301,32,pg
0,0.4,10,0.12,5.30697,25,vpg
0,0.4,10,0.13,5.2504,31,pg
0,0.4,10,0.13,5.24928,24,vpg
0,0.4,10,0.14,5.20083,35,pg
0,0.4,10,0.14,5.19151,25,vpg
0,0.4,10,0.15,5.1264,47,pg
0,0.4,10,0.15,5.13375,24,vpg
0,0.4,10,0.16,5.08067,47,pg
0,0.4,10,0.16,5.07599,28,vpg
0,0.4,10,0.17,5.0275,64,pg
0,0.4,10,0.17,5.01823,24,vpg
0,0.4,10,0.18,4.96127,63,pg
0,0.4,10,0.18,4.96052,26,vpg
0,0.4,10,0.19,4.91263,83,pg
0,0.4,10,0.19,4.90276,24,vpg
0,0.4,10,0.2,4.84503,83,pg
0,0.4,10,0.2,4.845,28,vpg
0,0.4,10,0.21,4.79927,101,pg
0,0.4,10,0.21,4.78724,26,vpg
0,0.4,10,0.22,4.75627,107,pg
0,0.4,10,0.22,4.72948,25,vpg
0,0.4,10,0.23,4.6609,119,pg
0,0.4,10,0.23,4.67177,25,vpg
0,0.4,10,0.24,4.60343,127,pg
0,0.4,10,0.24,4.61401,24,vpg
0,0.4,10,0.25,4.53993,145,pg
0,0.4,10,0.25,4.55625,24,vpg
0,0.4,10,0.26,4.51383,150,pg
0,0.4,10,0.26,4.49848,24,vpg
0,0.4,10,0.27,4.4316,165,pg
0,0.4,10,0.27,4.44073,24,vpg
0,0.4,10,0.28,4.38313,186,pg
0,0.4,10,0.28,4.38302,31,vpg
0,0.4,10,0.29,4.34077,197,pg
0,0.4,10,0.29,4.32527,24,vpg
0,0.4,10,0.3,4.29127,200,pg
0,0.4,10,0.3,4.2675,25,vpg
0,0.4,10,0.31,4.20287,236,pg
0,0.4,10,0.31,4.20973,26,vpg
0,0.4,10,0.32,4.15053,253,pg
0,0.4,10,0.32,4.15199,24,vpg
0,0.4,10,0.33,4.117,259,pg
0,0.4,10,0.33,4.09426,25,vpg
0,0.4,10,0.34,4.03983,306,pg
0,0.4,10,0.34,4.03652,24,vpg
0,0.4,10,0.35,3.97347,319,pg
0,0.4,10,0.35,3.97875,25,vpg
0,0.4,10,0.36,3.93067,325,pg
0,0.4,10,0.36,3.92098,25,vpg
0,0.4,10,0.37,3.8779,343,pg
0,0.4,10,0.37,3.86324,25,vpg
0,0.4,10,0.38,3.82087,385,pg
0,0.4,10,0.38,3.80551,24,vpg
0,0.4,10,0.39,3.73113,432,pg
0,0.4,10,0.39,3.74777,27,vpg
0,0.4,10,0.4,3.67843,468,pg
0,0.4,10,0.4,3.69,27,vpg
0,0.4,10,0.41,3.64677,475,pg
0,0.4,10,0.41,3.63223,34,vpg
0,0.4,10,0.42,3.58043,528,pg
0,0.4,10,0.42,3.5745,33,vpg
0,0.4,10,0.43,3.5018,553,pg
0,0.4,10,0.43,3.51675,32,vpg
0,0.4,10,0.44,3.45793,558,pg
0,0.4,10,0.44,3.45902,33,vpg
0,0.4,10,0.45,3.39303,617,pg
0,0.4,10,0.45,3.40125,36,vpg
0,0.4,10,0.46,3.34613,629,pg
0,0.4,10,0.46,3.34348,31,vpg
0,0.4,10,0.47,3.2543,699,pg
0,0.4,10,0.47,3.28575,31,vpg
0,0.4,10,0.48,3.2704,706,pg
0,0.4,10,0.48,3.228,31,vpg
0,0.4,10,0.49,3.15763,777,pg
0,0.4,10,0.49,3.17027,34,vpg
0,0.4,10,0.5,3.10633,811,pg
0,0.4,10,0.5,3.1125,34,vpg
0,0.4,10,0.51,3.05847,823,pg
0,0.4,10,0.51,3.05473,35,vpg
0,0.4,10,0.52,2.99707,903,pg
0,0.4,10,0.52,2.997,35,vpg
0,0.4,10,0.53,2.96337,966,pg
0,0.4,10,0.53,2.93925,33,vpg
0,0.4,10,0.54,2.91993,1011,pg
0,0.4,10,0.54,2.88152,34,vpg
0,0.4,10,0.55,2.83643,1051,pg
0,0.4,10,0.55,2.82375,36,vpg
0,0.4,10,0.56,2.7667,1122,pg
0,0.4,10,0.56,2.76599,33,vpg
0,0.4,10,0.57,2.70333,1201,pg
0,0.4,10,0.57,2.70825,40,vpg
0,0.4,10,0.58,2.65783,1291,pg
0,0.4,10,0.58,2.6505,36,vpg
0,0.4,10,0.59,2.59573,1335,pg
0,0.4,10,0.59,2.59276,35,vpg
0,0.4,10,0.6,2.55643,1428,pg
0,0.4,10,0.6,2.535,38,vpg
0,0.4,10,0.61,2.49737,1503,pg
0,0.4,10,0.61,2.47724,80,vpg
0,0.4,10,0.62,2.42873,1542,pg
0,0.4,10,0.62,2.4195,76,vpg
0,0.4,10,0.63,2.39437,1629,pg
0,0.4,10,0.63,2.36175,83,vpg
0,0.4,10,0.64,2.30593,1743,pg
0,0.4,10,0.64,2.30401,76,vpg
0,0.4,10,0.65,2.2588,1905,pg
0,0.4,10,0.65,2.24625,76,vpg
0,0.4,10,0.66,2.2118,1970,pg
0,0.4,10,0.66,2.18849,77,vpg
0,0.4,10,0.67,2.15883,2108,pg
0,0.4,10,0.67,2.13075,77,vpg
0,0.4,10,0.68,2.10363,2217,pg
0,0.4,10,0.68,2.073,74,vpg
0,0.4,10,0.69,2.05003,2377,pg
0,0.4,10,0.69,2.01526,85,vpg
0,0.4,10,0.7,2.00947,2521,pg
0,0.4,10,0.7,1.9575,86,vpg
0,0.4,10,0.71,1.94303,2772,pg
0,0.4,10,0.71,1.89974,87,vpg
0,0.4,10,0.72,1.86687,3061,pg
0,0.4,10,0.72,1.842,98,vpg
0,0.4,10,0.73,1.8536,2973,pg
0,0.4,10,0.73,1.78425,93,vpg
0,0.4,10,0.74,1.78377,3416,pg
0,0.4,10,0.74,1.72651,99,vpg
0,0.4,10,0.75,1.72267,3689,pg
0,0.4,10,0.75,1.66875,108,vpg
0,0.4,10,0.76,1.65547,4224,pg
0,0.4,10,0.76,1.611,117,vpg
0,0.4,10,0.77,1.61237,4334,pg
0,0.4,10,0.77,1.55325,114,vpg
0,0.4,10,0.78,1.55207,5040,pg
0,0.4,10,0.78,1.4955,118,vpg
0,0.4,10,0.79,1.50707,5310,pg
0,0.4,10,0.79,1.43775,126,vpg
0,0.4,10,0.8,1.42883,6185,pg
0,0.4,10,0.8,1.38,127,vpg
0,0.4,10,0.81,1.3861,6933,pg
0,0.4,10,0.81,1.32225,250,vpg
0,0.4,10,0.82,1.35297,7790,pg
0,0.4,10,0.82,1.2645,244,vpg
0,0.4,10,0.83,1.28217,9398,pg
0,0.4,10,0.83,1.20675,278,vpg
0,0.4,10,0.84,1.24777,10633,pg
0,0.4,10,0.84,1.1496,274,vpg
0,0.4,10,0.85,1.1863,11214,pg
0,0.4,10,0.85,1.094,343,vpg
0,0.4,10,0.86,1.13073,13126,pg
0,0.4,10,0.86,1.041,443,vpg
0,0.4,10,0.87,1.09603,14461,pg
0,0.4,10,0.87,0.991502,551,vpg
0,0.4,10,0.88,1.069,16400,pg
0,0.4,10,0.88,0.942399,912,vpg
0,0.4,10,0.89,1.02397,14188,pg
