qfix, qfluct, l,p,dof,time,method
0.2,0.3,20,0,2.97563,51701,pg
0.2,0.3,20,0,2.97563,8463,vpg
0.2,0.3,20,0.01,2.93099,64897,pg
0.2,0.3,20,0.01,2.93049,12216,vpg
0.2,0.3,20,0.02,2.88541,60036,pg
0.2,0.3,20,0.02,2.88548,8734,vpg
0.2,0.3,20,0.03,2.84086,71644,pg
0.2,0.3,20,0.03,2.84018,12308,vpg
0.2,0.3,20,0.04,2.79881,94231,pg
0.2,0.3,20,0.04,2.79516,11355,vpg
0.2,0.3,20,0.05,2.7572,100304,pg
0.2,0.3,20,0.05,2.75003,12268,vpg
0.2,0.3,20,0.06,2.71077,105140,pg
0.2,0.3,20,0.06,2.70491,12735,vpg
0.2,0.3,20,0.07,2.66682,114141,pg
0.2,0.3,20,0.07,2.65987,12031,vpg
0.2,0.3,20,0.08,2.619,120846,pg
0.2,0.3,20,0.08,2.6146,12546,vpg
0.2,0.3,20,0.09,2.57798,125246,pg
0.2,0.3,20,0.09,2.56954,12357,vpg
0.2,0.3,20,0.1,2.52895,133421,pg
0.2,0.3,20,0.1,2.52444,12182,vpg
0.2,0.3,20,0.11,2.48629,141519,pg
0.2,0.3,20,0.11,2.47933,13055,vpg
0.2,0.3,20,0.12,2.44217,146342,pg
0.2,0.3,20,0.12,2.43426,13410,vpg
0.2,0.3,20,0.13,2.39748,152495,pg
0.2,0.3,20,0.13,2.38903,13706,vpg
0.2,0.3,20,0.14,2.35923,156996,pg
0.2,0.3,20,0.14,2.34394,13572,vpg
0.2,0.3,20,0.15,2.3106,165467,pg
0.2,0.3,20,0.15,2.29884,13455,vpg
0.2,0.3,20,0.16,2.2697,171770,pg
0.2,0.3,20,0.16,2.25375,13950,vpg
0.2,0.3,20,0.17,2.22382,183124,pg
0.2,0.3,20,0.17,2.20865,13065,vpg
0.2,0.3,20,0.18,2.18177,191603,pg
0.2,0.3,20,0.18,2.16345,14279,vpg
0.2,0.3,20,0.19,2.13248,197240,pg
0.2,0.3,20,0.19,2.11833,14055,vpg
0.2,0.3,20,0.2,2.09304,213838,pg
0.2,0.3,20,0.2,2.07325,10673,vpg
0.2,0.3,20,0.21,2.05691,211986,pg
0.2,0.3,20,0.21,2.02818,17994,vpg
0.2,0.3,20,0.22,2.00939,227918,pg
0.2,0.3,20,0.22,1.98307,17522,vpg
0.2,0.3,20,0.23,1.96539,240797,pg
0.2,0.3,20,0.23,1.93796,17720,vpg
0.2,0.3,20,0.24,1.92806,251917,pg
0.2,0.3,20,0.24,1.89285,17381,vpg
0.2,0.3,20,0.25,1.8749,258700,pg
0.2,0.3,20,0.25,1.84778,16261,vpg
0.2,0.3,20,0.26,1.8407,255255,pg
0.2,0.3,20,0.26,1.80274,16532,vpg
